brain_domain	computational_parameter	r	p	n	q_fdr
prior_control_value_ec_lite	mean_reg_success_z	-0.43092061483977295	0.012294994209653362	33	0.8099391706836411
prior_sensory_fc	passive_precision_inv_rmse	0.4036852612742843	0.019821409761264352	33	0.8099391706836411
prior_value_fc	passive_habituation_global_beta	-0.38222133816079523	0.02815344000487396	33	0.8099391706836411
prior_control_value_ec_lite	up_success_mean_z	-0.37819493663626774	0.029997747062357076	33	0.8099391706836411
dcm_sensory_interoceptive	passive_precision_inv_rmse	-0.3498714831887363	0.04593961205070814	33	0.9922956202952957
prior_sensory_fc	passive_sensitivity_temp_beta	0.31203513178634223	0.07708962385458926	33	0.9971803984521463
dcm_sensory_interoceptive	passive_sensitivity_temp_beta	-0.30617758790611643	0.08310787646690793	33	0.9971803984521463
prior_control_value_ec_lite	down_success_mean_z	-0.26532244423120965	0.13562424405338616	33	0.9971803984521463
prior_sensory_fc	passive_habituation_global_beta	-0.2548700077451957	0.1523078707078298	33	0.9971803984521463
prior_control_recruitment	state_dep_down_slope_expected_pain	-0.24723328710530557	0.16540257753150917	33	0.9971803984521463
prior_sensory_fc	state_dep_up_slope_expected_pain	0.2465396946445845	0.16663055498126617	33	0.9971803984521463
dcm_left_value	passive_habituation_global_beta	-0.23512176297998644	0.18778962159102988	33	0.9971803984521463
dcm_control_value_passive	passive_sensitivity_temp_beta	-0.2315749229613737	0.1947299528172919	33	0.9971803984521463
prior_value_dcm	mean_reg_success_z	0.21243093350374792	0.23527710706288366	33	0.9971803984521463
dcm_descending_affective	passive_habituation_global_beta	-0.20366928217855007	0.2556036205964407	33	0.9971803984521463
dcm_descending_affective	mean_reg_success_z	0.20144904705832556	0.26093316297711544	33	0.9971803984521463
dcm_control_value_passive	state_dep_up_slope_expected_pain	0.18783547637389175	0.29520085571008764	33	0.9971803984521463
dcm_left_value	up_success_mean_z	0.1873710854535859	0.29641809602179425	33	0.9971803984521463
dcm_descending_affective	up_success_mean_z	0.18280807490673068	0.3085479442863661	33	0.9971803984521463
prior_value_dcm	up_success_mean_z	0.17831804798825046	0.32078383673743055	33	0.9971803984521463
