model	term	beta	se	t_or_z	p	n	r2	q_fdr
cluster_OLS_subject_FE	is_up_c	0.07141083262264605	0.08212992865093331	0.8694861154227309	0.384581299179255	660	0.21240147639696771	0.5287992863714757
cluster_OLS_subject_FE	expected_pain_c	-0.015398703322871654	0.03115472764810641	-0.4942653807409416	0.6211187710013881	660	0.21240147639696771	0.7591451645572521
cluster_OLS_subject_FE	is_up_c:expected_pain_c	-0.1995787645060753	0.06759579406074097	-2.952532288129283	0.003151791065935355	660	0.21240147639696771	0.014572427489358816
cluster_OLS_subject_FE	global_trial_c	-0.06934570441507096	0.041833194466061596	-1.657671743699365	0.09738374009383317	660	0.21240147639696771	0.2189293733369777
cluster_OLS_subject_FE	up_first_c	0.44318920413330876	0.01704905915135997	25.99493615446553	5.650016578832623e-149	660	0.21240147639696771	6.215018236715885e-148
cluster_OLS_no_subject_FE	is_up_c	0.07111438759329264	0.08023393473115194	0.8863380293087071	0.3754354021640386	660	0.04251656005522653	0.5287992863714757
cluster_OLS_no_subject_FE	expected_pain_c	-0.004432869819443741	0.07506588024199323	-0.059053058528765676	0.9529098472178967	660	0.04251656005522653	0.9529098472178968
cluster_OLS_no_subject_FE	is_up_c:expected_pain_c	-0.1993620364200403	0.06921825339193195	-2.8801945534684332	0.003974298406188768	660	0.04251656005522653	0.014572427489358816
cluster_OLS_no_subject_FE	global_trial_c	-0.06818201986521899	0.04139223907180993	-1.6472174831357254	0.09951335151680804	660	0.04251656005522653	0.2189293733369777
cluster_OLS_no_subject_FE	up_first_c	0.0998258030766333	0.09534841499475508	1.046958180501737	0.29511886629901907	660	0.04251656005522653	0.5287992863714757
cluster_OLS_no_subject_FE	temperature_c	-0.01595093824323659	0.06560050109894648	-0.24315268901951656	0.8078871157719998	660	0.04251656005522653	0.8886758273491997
