model	term	error	beta	se	z	p	aic	bic	converged	q_fdr
MixedLM_re_1	MODEL_FAILED	Singular matrix								
MixedLM_re_1 + is_up_c	Intercept		0.3056180288686783	0.047094715366289536	6.48943361249063	8.615966147532133e-11	1228.2757840795239	1273.1981824297286	True	5.16957968851928e-10
MixedLM_re_1 + is_up_c	is_up_c		0.0721984716527902	0.07827271776093407	0.9223963817546714	0.3563218563979389	1228.2757840795239	1273.1981824297286	True	0.4750958085305852
MixedLM_re_1 + is_up_c	expected_pain_c		-0.005627060222325506	0.02251672538792694	-0.24990579781830238	0.8026601994522712	1228.2757840795239	1273.1981824297286	True	0.8026601994522712
MixedLM_re_1 + is_up_c	is_up_c:expected_pain_c		-0.17961040538541087	0.045002808499888504	-3.991093253343419	6.576941105257555e-05	1228.2757840795239	1273.1981824297286	True	0.00020853898345088467
MixedLM_re_1 + is_up_c	global_trial_c		-0.08587251470214487	0.03900975193618325	-2.2013089148227665	0.0277141621940766	1228.2757840795239	1273.1981824297286	True	0.06651398926578383
MixedLM_re_1 + is_up_c	up_first_c		0.11287871793549431	0.0947531913574454	1.1912919904689276	0.2335389771316968	1228.2757840795239	1273.1981824297286	True	0.40035253222576594
MixedLM_re_1 + is_up_c + expected_pain_c	Intercept		0.30480539527209655	0.046949727312059875	6.492165401646579	8.461128814414311e-11	1231.2694826268353	1289.6686004821013	True	5.16957968851928e-10
MixedLM_re_1 + is_up_c + expected_pain_c	is_up_c		0.07603786593471352	0.07639519725143606	0.9953225944878907	0.31957939210997266	1231.2694826268353	1289.6686004821013	True	0.4750958085305852
MixedLM_re_1 + is_up_c + expected_pain_c	expected_pain_c		-0.009213209102759964	0.026645149691960836	-0.3457743420199174	0.729512309216274	1231.2694826268353	1289.6686004821013	True	0.7958316100541171
MixedLM_re_1 + is_up_c + expected_pain_c	is_up_c:expected_pain_c		-0.1779177050487745	0.044726017097363284	-3.977946541975078	6.951299448362823e-05	1231.2694826268353	1289.6686004821013	True	0.00020853898345088467
MixedLM_re_1 + is_up_c + expected_pain_c	global_trial_c		-0.08160847162043183	0.04130451095119475	-1.9757762467363453	0.04818012484342614	1231.2694826268353	1289.6686004821013	True	0.09636024968685226
MixedLM_re_1 + is_up_c + expected_pain_c	up_first_c		0.06698927653298455	0.09860895849172399	0.6793427043305279	0.49692074419589616	1231.2694826268353	1289.6686004821013	True	0.5963048930350754
