confound_strategy	confounds_include_cosine	confounds_n_acompcor	confounds_spike_mode	confounds_fd_spike_threshold	confounds_include_nonsteady	confounds_fd_spikes_used_n	confounds_fmriprep_spikes_available_n	confounds_fmriprep_spikes_used_n	confounds_nonsteady_used_n	confounds_n_cols	confounds_rank	estimated_dof_after_confounds	estimated_dof_after_confounds_basic_task	pre_glm_flag	pre_glm_decision	subject	run
standard	False	5	fd05	0.5	True	4	51	0	0	35	35	173	169	OK	READY	sub-01	1
standard	False	5	fd05	0.5	True	9	107	0	0	40	40	168	164	OK	READY	sub-01	2
standard	False	5	fd05	0.5	True	15	42	0	0	46	46	144	140	OK	READY	sub-01	3
standard	False	5	fd05	0.5	True	7	27	0	0	38	38	170	166	OK	READY	sub-01	4
standard	False	5	fd05	0.5	True	25	60	0	5	61	61	147	143	OK	READY	sub-01	5
standard	False	5	fd05	0.5	True	12	71	0	0	43	43	165	161	OK	READY	sub-01	6
standard	False	5	fd05	0.5	True	5	108	0	0	36	36	154	150	OK	READY	sub-01	7
standard	False	5	fd05	0.5	True	3	76	0	0	34	34	174	170	OK	READY	sub-01	8
standard	False	5	fd05	0.5	True	4	130	0	0	35	35	173	169	OK	READY	sub-01	9
standard	False	5	fd05	0.5	True	5	120	0	0	36	36	172	168	OK	READY	sub-02	1
standard	False	5	fd05	0.5	True	0	56	0	0	31	31	177	173	OK	READY	sub-02	2
standard	False	5	fd05	0.5	True	0	29	0	0	31	31	159	155	OK	READY	sub-02	3
standard	False	5	fd05	0.5	True	1	7	0	0	32	32	176	172	OK	READY	sub-02	4
standard	False	5	fd05	0.5	True	2	12	0	0	33	33	175	171	OK	READY	sub-02	6
standard	False	5	fd05	0.5	True	20	28	0	0	51	51	139	135	OK	READY	sub-02	7
standard	False	5	fd05	0.5	True	18	22	0	0	49	49	159	155	OK	READY	sub-02	9
standard	False	5	fd05	0.5	True	3	58	0	0	34	34	174	170	OK	READY	sub-03	1
standard	False	5	fd05	0.5	True	6	98	0	0	37	37	171	167	OK	READY	sub-03	2
standard	False	5	fd05	0.5	True	0	43	0	0	31	31	159	155	OK	READY	sub-03	3
standard	False	5	fd05	0.5	True	13	83	0	0	44	44	164	160	OK	READY	sub-03	4
standard	False	5	fd05	0.5	True	3	104	0	0	34	34	174	170	OK	READY	sub-03	5
standard	False	5	fd05	0.5	True	7	32	0	0	38	38	170	166	OK	READY	sub-03	6
standard	False	5	fd05	0.5	True	18	42	0	0	49	49	141	137	OK	READY	sub-03	7
standard	False	5	fd05	0.5	True	27	61	0	0	58	58	150	146	OK	READY	sub-03	8
standard	False	5	fd05	0.5	True	6	72	0	0	37	37	171	167	OK	READY	sub-03	9
standard	False	5	fd05	0.5	True	26	82	0	0	57	57	151	147	OK	READY	sub-04	1
standard	False	5	fd05	0.5	True	27	62	0	0	58	58	150	146	OK	READY	sub-04	2
standard	False	5	fd05	0.5	True	18	39	0	0	49	49	141	137	OK	READY	sub-04	3
standard	False	5	fd05	0.5	True	12	56	0	0	43	43	165	161	OK	READY	sub-04	4
standard	False	5	fd05	0.5	True	42	56	0	0	73	73	135	131	OK	READY	sub-04	6
standard	False	5	fd05	0.5	True	43	67	0	0	74	74	116	112	OK	READY	sub-04	7
standard	False	5	fd05	0.5	True	29	84	0	0	60	60	148	144	OK	READY	sub-04	8
standard	False	5	fd05	0.5	True	1	45	0	0	32	32	176	172	OK	READY	sub-05	1
standard	False	5	fd05	0.5	True	0	13	0	0	31	31	177	173	OK	READY	sub-05	2
standard	False	5	fd05	0.5	True	0	69	0	0	31	31	159	155	OK	READY	sub-05	3
standard	False	5	fd05	0.5	True	0	22	0	0	31	31	177	173	OK	READY	sub-05	4
standard	False	5	fd05	0.5	True	0	32	0	0	31	31	177	173	OK	READY	sub-05	5
standard	False	5	fd05	0.5	True	0	77	0	0	31	31	177	173	OK	READY	sub-05	6
standard	False	5	fd05	0.5	True	0	38	0	0	31	31	159	155	OK	READY	sub-05	7
standard	False	5	fd05	0.5	True	0	29	0	0	31	31	177	173	OK	READY	sub-05	8
standard	False	5	fd05	0.5	True	0	78	0	0	31	31	177	173	OK	READY	sub-05	9
standard	False	5	fd05	0.5	True	29	67	0	0	60	60	148	144	OK	READY	sub-06	1
standard	False	5	fd05	0.5	True	7	16	0	0	38	38	170	166	OK	READY	sub-06	2
standard	False	5	fd05	0.5	True	4	35	0	0	35	35	155	151	OK	READY	sub-06	3
standard	False	5	fd05	0.5	True	7	22	0	0	38	38	170	166	OK	READY	sub-06	4
standard	False	5	fd05	0.5	True	26	53	0	0	57	57	151	147	OK	READY	sub-06	5
standard	False	5	fd05	0.5	True	14	27	0	0	45	45	163	159	OK	READY	sub-06	6
standard	False	5	fd05	0.5	True	12	49	0	0	43	43	147	143	OK	READY	sub-06	7
standard	False	5	fd05	0.5	True	6	58	0	0	37	37	171	167	OK	READY	sub-06	9
standard	False	5	fd05	0.5	True	2	58	0	0	33	33	175	171	OK	READY	sub-07	1
standard	False	5	fd05	0.5	True	6	29	0	0	37	37	171	167	OK	READY	sub-07	2
standard	False	5	fd05	0.5	True	17	41	0	0	48	48	142	138	OK	READY	sub-07	3
