set_name	effect	n_subjects	covariate	status	error	group_design	group_beta_map	group_var_map	group_stat_map	group_z_map	group_p_map	fdr_threshold	fdr_map	fdr_note	unc001_map	unc001_threshold	z_max	z_min	z_max_abs	source_subject_effect_set	min_subjects_required	cov_beta_map	cov_z_map	cov_stat_map
main	up_minus_down_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_design_up_minus_down_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_beta_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_var_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_stat_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_z_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_p_up_minus_down_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_down_FE/group_z_up_minus_down_FE_unc001_z3p29.nii.gz	3.29	1.2319749593734741	-2.4764699935913086	2.4764699935913086	main	10			
main	up_minus_passive_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_design_up_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_beta_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_var_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_stat_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_z_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_p_up_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/up_minus_passive_FE/group_z_up_minus_passive_FE_unc001_z3p29.nii.gz	3.29	1.9351544380187988	-2.7019975185394287	2.7019975185394287	main	10			
main	down_minus_passive_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_design_down_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_beta_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_var_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_stat_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_z_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_p_down_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/down_minus_passive_FE/group_z_down_minus_passive_FE_unc001_z3p29.nii.gz	3.29	4.418209552764893	-4.507881164550781	4.507881164550781	main	10			
main	regulation_mean_minus_passive_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_design_regulation_mean_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_beta_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_var_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_stat_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_z_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_p_regulation_mean_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/regulation_mean_minus_passive_FE/group_z_regulation_mean_minus_passive_FE_unc001_z3p29.nii.gz	3.29	1.6036144495010376	-2.316412925720215	2.316412925720215	main	10			
main	stim_passive_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_design_stim_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_beta_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_var_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_stat_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_z_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_p_stim_passive_FE.nii.gz	2.611255019902183	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_z_stim_passive_FE_fdr0p05.nii.gz		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/main/stim_passive_FE/group_z_stim_passive_FE_unc001_z3p29.nii.gz	3.29	6.205325603485107	-6.147575855255127	6.205325603485107	main	10			
fd_bad_run_exclude	up_minus_down_FE	26		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_design_up_minus_down_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_beta_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_var_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_stat_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_z_up_minus_down_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_p_up_minus_down_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_down_FE/group_z_up_minus_down_FE_unc001_z3p29.nii.gz	3.29	4.091280460357666	-3.061044454574585	4.091280460357666	fd_bad_run_exclude	10			
fd_bad_run_exclude	up_minus_passive_FE	28		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_design_up_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_beta_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_var_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_stat_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_z_up_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_p_up_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/up_minus_passive_FE/group_z_up_minus_passive_FE_unc001_z3p29.nii.gz	3.29	1.4256452322006226	-3.0368287563323975	3.0368287563323975	fd_bad_run_exclude	10			
fd_bad_run_exclude	down_minus_passive_FE	30		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_design_down_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_beta_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_var_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_stat_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_z_down_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_p_down_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/down_minus_passive_FE/group_z_down_minus_passive_FE_unc001_z3p29.nii.gz	3.29	3.973947048187256	-4.818286418914795	4.818286418914795	fd_bad_run_exclude	10			
fd_bad_run_exclude	regulation_mean_minus_passive_FE	26		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_design_regulation_mean_minus_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_beta_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_var_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_stat_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_z_regulation_mean_minus_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_p_regulation_mean_minus_passive_FE.nii.gz	inf		No voxels survived FDR threshold; threshold is infinite.	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/regulation_mean_minus_passive_FE/group_z_regulation_mean_minus_passive_FE_unc001_z3p29.nii.gz	3.29	4.104727268218994	-4.196898937225342	4.196898937225342	fd_bad_run_exclude	10			
fd_bad_run_exclude	stim_passive_FE	33		OK		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_design_stim_passive_FE.tsv	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_beta_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_var_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_stat_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_z_stim_passive_FE.nii.gz	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_p_stim_passive_FE.nii.gz	2.624591492115451	<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_z_stim_passive_FE_fdr0p05.nii.gz		<PROJECT_ROOT>/derivatives/group_level_analysis/group_maps/fd_bad_run_exclude/stim_passive_FE/group_z_stim_passive_FE_unc001_z3p29.nii.gz	3.29	6.158915996551514	-5.882989406585693	6.158915996551514	fd_bad_run_exclude	10			
