effect	comparison_set	main_status	comparison_status	main_n_subjects	comparison_n_subjects	delta_n_subjects	corr_group_beta	corr_group_z	main_z_max_abs	comparison_z_max_abs	main_fdr_threshold	comparison_fdr_threshold
up_minus_down_FE	fd_bad_run_exclude	OK	OK	33	26	-7	0.001760728252996136	-0.015090809587863515	2.4764699935913086	4.091280460357666	inf	inf
up_minus_down_FE	high_motion_subject_exclude	OK	OK	33	26	-7	0.001760728252996136	-0.015090809587863515	2.4764699935913086	4.091280460357666	inf	inf
up_minus_down_FE	motion_covariate_mean_fd	OK	OK	33	33	0	1.0	0.9997671228067269	2.4764699935913086	3.09157657623291	inf	inf
up_minus_passive_FE	fd_bad_run_exclude	OK	OK	33	28	-5	0.999976932960554	0.9690903019548289	2.7019975185394287	3.0368287563323975	inf	inf
up_minus_passive_FE	high_motion_subject_exclude	OK	OK	33	26	-7	0.0016024741464853145	0.13109419340027467	2.7019975185394287	4.170103073120117	inf	inf
up_minus_passive_FE	motion_covariate_mean_fd	OK	OK	33	33	0	1.0	0.9995371949010818	2.7019975185394287	2.933465003967285	inf	inf
down_minus_passive_FE	fd_bad_run_exclude	OK	OK	33	30	-3	0.8923622650906842	0.9226944782254316	4.507881164550781	4.818286418914795	inf	inf
down_minus_passive_FE	high_motion_subject_exclude	OK	OK	33	26	-7	0.8438411893711855	0.8739981356012024	4.507881164550781	4.564426898956299	inf	inf
down_minus_passive_FE	motion_covariate_mean_fd	OK	OK	33	33	0	1.0	0.99950381308914	4.507881164550781	4.475340843200684	inf	inf
regulation_mean_minus_passive_FE	fd_bad_run_exclude	OK	OK	33	26	-7	0.2255635495998288	0.1914916715603538	2.316412925720215	4.196898937225342	inf	inf
regulation_mean_minus_passive_FE	high_motion_subject_exclude	OK	OK	33	26	-7	0.2304998024444105	0.1754809623081109	2.316412925720215	4.18061637878418	inf	inf
regulation_mean_minus_passive_FE	motion_covariate_mean_fd	OK	OK	33	33	0	1.0	0.9996767614098391	2.316412925720215	2.6376538276672363	inf	inf
stim_passive_FE	fd_bad_run_exclude	OK	OK	33	33	0	0.9845294530696328	0.9848065695344174	6.205325603485107	6.158915996551514	2.611255019902183	2.624591492115451
stim_passive_FE	high_motion_subject_exclude	OK	OK	33	26	-7	0.9655034847341154	0.9554710040312492	6.205325603485107	5.97183084487915	2.611255019902183	2.676119655369712
stim_passive_FE	motion_covariate_mean_fd	OK	OK	33	33	0	0.9999999999999999	0.9996378449352094	6.205325603485107	6.126166820526123	2.611255019902183	2.6197354197492135
