subject	run	run_label	fd_mean
sub-01	1	run-01	0.1238630510781418
sub-01	2	run-02	0.1614945554034162
sub-01	3	run-03	0.1988766591101391
sub-01	4	run-04	0.1367230112842614
sub-01	5	run-05	0.2956433723760698
sub-01	6	run-06	0.1968380353656947
sub-01	7	run-07	0.1380519715617009
sub-01	8	run-08	0.105795352561353
sub-01	9	run-09	0.1189472697680673
sub-02	1	run-01	0.162652773612981
sub-02	2	run-02	0.1148755133491545
sub-02	3	run-03	0.1160546655022019
sub-02	4	run-04	0.0975078901686942
sub-02	5	run-05	0.2140687631631673
sub-02	6	run-06	0.1175816251885565
sub-02	7	run-07	0.2682837772608473
sub-02	8	run-08	0.1827778993441239
sub-02	9	run-09	0.224154029553043
sub-03	1	run-01	0.1341858660685287
sub-03	2	run-02	0.1649413756259335
sub-03	3	run-03	0.1373699218395707
sub-03	4	run-04	0.2195462993342629
sub-03	5	run-05	0.1748801864202376
sub-03	6	run-06	0.1978534604258807
sub-03	7	run-07	0.2652091141122344
sub-03	8	run-08	0.2676992522100181
sub-03	9	run-09	0.1802827064455669
sub-04	1	run-01	0.2834626891650417
sub-04	2	run-02	0.2611299759712899
sub-04	3	run-03	0.2515769693589086
sub-04	4	run-04	0.2320778511927774
sub-04	5	run-05	0.3531914006493132
sub-04	6	run-06	0.4061835884233326
sub-04	7	run-07	0.478327725528658
sub-04	8	run-08	0.3164770646689777
sub-04	9	run-09	0.5388392533407746
sub-05	1	run-01	0.1317818906588913
sub-05	2	run-02	0.1183861285963912
sub-05	3	run-03	0.1151747974661275
sub-05	4	run-04	0.1179395107063916
sub-05	5	run-05	0.1128630354726434
sub-05	6	run-06	0.1111051412300517
sub-05	7	run-07	0.1276739963471242
sub-05	8	run-08	0.0944989284041966
sub-05	9	run-09	0.0986317184534385
sub-06	1	run-01	0.3253668270045048
sub-06	2	run-02	0.2565621592231207
sub-06	3	run-03	0.2288872961586764
sub-06	4	run-04	0.2568879451517903
sub-06	5	run-05	0.3425834903609344
sub-06	6	run-06	0.2475274840562817
sub-06	7	run-07	0.3003195488325171
