Analysis	Estimate	95% CI / null interval	p	Control / correction
Selected exploratory forward composite	r = −0.546	[−0.764, −0.270]	0.0010	archived screening q = 0.0127
Covariate-adjusted model	β = −0.464	[−0.681, −0.194]	0.0023	label-permutation p = 0.0007
Reverse-direction composite	r = 0.265	—	0.136	matched control
Synchronous zero-lag composite	r = 0.064	—	0.725	matched control
Time-reversed composite	r = −0.016	—	0.930	matched control
Shared-source permutation null	r = −0.546	null [−0.341, 0.336]	0.0014	5,000 iterations
Nonzero circular-shift null	r = −0.546	null [−0.271, 0.389]	0.0014	5,000 iterations
Forward minus reverse	Δr = −0.811	[−1.178, −0.320]	0.0022	q = 0.0066
Forward minus zero-lag	Δr = −0.609	[−1.070, −0.011]	0.0470	q = 0.0470
Forward minus time-reversed	Δr = −0.530	[−0.954, −0.063]	0.0258	q = 0.0387
