value	label_raw	label_clean	label_clean_lower	hemi_label	source
1	L V1 1	V1		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
2	L V2 2	V2		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
3	L V3 3	V3		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
4	L V4 4	V4		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
5	L IPS1 5	IPS1	ips1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
6	L V3A 6	V3A	v3a	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
7	L V3B 7	V3B	v3b	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
8	L V6 8	V6		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
9	L V6A 9	V6A	v6a	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
10	L V7 10	V7		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
11	L FFC 11	FFC	ffc	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
12	L PIT 12	PIT	pit	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
13	L V8 13	V8		L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
14	L VMV1 14	VMV1	vmv1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
15	L VMV2 15	VMV2	vmv2	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
16	L VMV3 16	VMV3	vmv3	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
17	L VVC 17	VVC	vvc	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
18	L FST 18	FST	fst	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
19	L LO1 19	LO1	lo1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
20	L LO2 20	LO2	lo2	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
21	L LO3 21	LO3	lo3	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
22	L MST 22	MST	mst	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
23	L MT 23	MT	mt	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
24	L PH 24	PH	ph	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
25	L V3CD 25	V3CD	v3cd	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
26	L V4t 26	V4t	v4t	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
27	L 1 27	1	1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
28	L 2 28	2	2	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
29	L 3a 29	3a	3a	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
30	L 3b 30	3b	3b	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
31	L 4 31	4	4	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
32	L 23c 32	23c	23c	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
33	L 24dd 33	24dd	24dd	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
34	L 24dv 34	24dv	24dv	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
35	L 5L 35	5L	5l	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
36	L 5m 36	5m	5m	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
37	L 5mv 37	5mv	5mv	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
38	L 6ma 38	6ma	6ma	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
39	L 6mp 39	6mp	6mp	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
40	L SCEF 40	SCEF	scef	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
41	L 55b 41	55b	55b	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
42	L 6a 42	6a	6a	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
43	L 6d 43	6d	6d	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
44	L 6r 44	6r	6r	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
45	L 6v 45	6v	6v	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
46	L FEF 46	FEF	fef	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
47	L PEF 47	PEF	pef	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
48	L 43 48	43	43	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
49	L FOP1 49	FOP1	fop1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
50	L OP1 50	OP1	op1	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
51	L OP2-3 51	OP2-3	op2-3	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
52	L OP4 52	OP4	op4	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex.nii.txt
