effect	roi	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
down_minus_passive_FE	expl_amygdala_L	exploratory_context	mean_reg_success_z	33	0.07873939907721537	0.6631560561819397	0.13836898395721925	0.44253145035519226	0.7368400624243775	0.7278861097319954
down_minus_passive_FE	expl_amygdala_L	exploratory_context	reg_success_z_up	33	-0.10312320263513998	0.5679441197160753	-0.08155080213903744	0.6518721495502794	0.7368400624243775	0.8691628660670392
down_minus_passive_FE	expl_amygdala_L	exploratory_context	reg_success_z_down	33	0.24064673892971103	0.17732739373746662	0.3145053475935829	0.07465523191796591	0.5910913124582221	0.6024218642436419
down_minus_passive_FE	expl_amygdala_L	exploratory_context	success_asymmetry_z_up_minus_down	33	-0.26934481823809286	0.1295754180820798	-0.2757352941176471	0.12037839527912197	0.5910913124582221	0.6024218642436419
down_minus_passive_FE	expl_amygdala_L	exploratory_context	task_separation_rating_z_up_minus_down	33	0.0828743888898229	0.6465857057549609	0.19050802139037434	0.288257662056037	0.7368400624243775	0.7278861097319954
down_minus_passive_FE	expl_amygdala_L	exploratory_context	passive_sensory_slope_z	33	-0.15657047435698718	0.38422787290957516	-0.1537433155080214	0.39297801242050523	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_amygdala_L	exploratory_context	passive_withinrun_slope_z	33	0.22846914326869588	0.20095245046837665	0.27038770053475936	0.12804016152888492	0.610229245662187	0.6024218642436419
down_minus_passive_FE	expl_amygdala_L	exploratory_context	passive_acrossrun_slope_z	33	0.24966386589447334	0.16115044167359838	0.3044786096256685	0.08491943142258884	0.5910913124582221	0.6024218642436419
down_minus_passive_FE	expl_amygdala_R	exploratory_context	mean_reg_success_z	33	0.18377700286027898	0.3059465210869838	0.188168449197861	0.2943300446735416	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_amygdala_R	exploratory_context	reg_success_z_up	33	0.08180730830418212	0.6508463461917845	0.13703208556149735	0.44699484440963666	0.7368400624243775	0.7278861097319954
down_minus_passive_FE	expl_amygdala_R	exploratory_context	reg_success_z_down	33	0.2103758525102419	0.2399440468400025	0.1002673796791444	0.5787679823624801	0.610229245662187	0.7983006653275587
down_minus_passive_FE	expl_amygdala_R	exploratory_context	success_asymmetry_z_up_minus_down	33	-0.0925322795749194	0.6085372214507606	-0.012366310160427808	0.945544926243306	0.7368400624243775	0.9697896679418523
down_minus_passive_FE	expl_amygdala_R	exploratory_context	task_separation_rating_z_up_minus_down	33	0.1738529176505057	0.33324638790318845	0.2005347593582888	0.26314893638942444	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_amygdala_R	exploratory_context	passive_sensory_slope_z	33	-0.20122936118098028	0.26146444793812756	-0.22359625668449198	0.2109909558237476	0.610229245662187	0.6492029409961465
down_minus_passive_FE	expl_amygdala_R	exploratory_context	passive_withinrun_slope_z	33	0.4448622608867795	0.009486095110698473	0.4485294117647059	0.0088449661412445	0.3391097752962722	0.35379864564978
down_minus_passive_FE	expl_amygdala_R	exploratory_context	passive_acrossrun_slope_z	33	0.41282837635739233	0.01695548876481361	0.3719919786096257	0.03303117734197031	0.3391097752962722	0.6024218642436419
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	mean_reg_success_z	33	0.15305261143895987	0.39513307138368703	0.13703208556149735	0.44699484440963666	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	reg_success_z_up	33	-0.0006073025556118106	0.9973237697536136	0.05147058823529412	0.7760550005541944	0.9973237697536136	0.8966528299144235
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	reg_success_z_down	33	0.2500799616910327	0.16043045225777774	0.17947860962566847	0.31759266666718405	0.5910913124582221	0.7278861097319954
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	success_asymmetry_z_up_minus_down	33	-0.19133195064256955	0.28613840862050316	-0.16209893048128343	0.3674482773926785	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	task_separation_rating_z_up_minus_down	33	0.1696189893765059	0.34533398848714975	0.1323529411764706	0.4628067843986101	0.610229245662187	0.7278861097319954
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	passive_sensory_slope_z	33	-0.20587011734610428	0.25039211752370644	-0.22660427807486633	0.20475431290313792	0.610229245662187	0.6492029409961465
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	passive_withinrun_slope_z	33	0.09573579269875813	0.5961295196717451	0.12934491978609627	0.47312597132579703	0.7368400624243775	0.7278861097319954
down_minus_passive_FE	expl_hippocampus_L	exploratory_context	passive_acrossrun_slope_z	33	0.043923523025205774	0.8082305862987149	0.00033422459893048126	0.9985271540782654	0.846828523866102	0.9985271540782654
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	mean_reg_success_z	33	0.06552018359206642	0.71715649485508	-0.0250668449197861	0.889871122764298	0.7753043187622487	0.9582489937419073
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	reg_success_z_up	33	-0.03986675641827209	0.8256578107694494	-0.05447860962566846	0.7633288007476038	0.846828523866102	0.8966528299144235
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	reg_success_z_down	33	0.15019979398066435	0.4041057869586132	-0.021724598930481284	0.9044829307460704	0.610229245662187	0.9582489937419073
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	success_asymmetry_z_up_minus_down	33	-0.14774931719236	0.4119047408219762	-0.06016042780748663	0.73945799530583	0.610229245662187	0.8966528299144235
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	task_separation_rating_z_up_minus_down	33	0.08934724274483187	0.6209804827991251	-0.02038770053475936	0.9103365440548119	0.7368400624243775	0.9582489937419073
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	passive_sensory_slope_z	33	-0.2478849968999771	0.16425466312101197	-0.2520053475935829	0.15712894658325915	0.5910913124582221	0.603014792484547
down_minus_passive_FE	expl_hippocampus_R	exploratory_context	passive_withinrun_slope_z	33	0.17187214017774405	0.3388686899804559	0.17580213903743316	0.327769885770716	0.610229245662187	0.7278861097319954
