roi	source_used	label	value
sensory_S1_L	HCPex	1	27
sensory_S1_L	HCPex	2	28
sensory_S1_L	HCPex	3a	29
sensory_S1_L	HCPex	3b	30
sensory_S1_R	HCPex	1	207
sensory_S1_R	HCPex	2	208
sensory_S1_R	HCPex	3a	209
sensory_S1_R	HCPex	3b	210
sensory_insula_all_L	HCPex	AAIC	68
sensory_insula_all_L	HCPex	AVI	69
sensory_insula_all_L	HCPex	Ig	74
sensory_insula_all_L	HCPex	MI	75
sensory_insula_all_L	HCPex	PI	76
sensory_insula_all_L	HCPex	Pir	77
sensory_insula_all_L	HCPex	PoI1	78
sensory_insula_all_L	HCPex	PoI2	79
sensory_insula_all_R	HCPex	AAIC	248
sensory_insula_all_R	HCPex	AVI	249
sensory_insula_all_R	HCPex	Ig	254
sensory_insula_all_R	HCPex	MI	255
sensory_insula_all_R	HCPex	PI	256
sensory_insula_all_R	HCPex	Pir	257
sensory_insula_all_R	HCPex	PoI1	258
sensory_insula_all_R	HCPex	PoI2	259
sensory_posterior_insula_L	HCPex	PI	76
sensory_posterior_insula_L	HCPex	PoI1	78
sensory_posterior_insula_L	HCPex	PoI2	79
sensory_posterior_insula_R	HCPex	PI	256
sensory_posterior_insula_R	HCPex	PoI1	258
sensory_posterior_insula_R	HCPex	PoI2	259
sensory_S2_operculum_L	HCPex	OP1	50
sensory_S2_operculum_L	HCPex	OP2-3	51
sensory_S2_operculum_L	HCPex	OP4	52
sensory_S2_operculum_R	HCPex	OP1	230
sensory_S2_operculum_R	HCPex	OP2-3	231
sensory_S2_operculum_R	HCPex	OP4	232
sensory_dACC_MCC	HCPex	24dd	33
sensory_dACC_MCC	HCPex	24dv	34
sensory_dACC_MCC	HCPex	d32	143
sensory_dACC_MCC	HCPex	p24	144
sensory_dACC_MCC	HCPex	p24pr	145
sensory_dACC_MCC	HCPex	24dd	213
sensory_dACC_MCC	HCPex	24dv	214
sensory_dACC_MCC	HCPex	d32	323
sensory_dACC_MCC	HCPex	p24	324
sensory_dACC_MCC	HCPex	p24pr	325
sensory_thalamus_L	Tian	THA-VAip-lh	30
sensory_thalamus_L	Tian	THA-VAia-lh	31
sensory_thalamus_L	Tian	THA-VPm-lh	35
sensory_thalamus_L	Tian	THA-VPl-lh	36
sensory_thalamus_L	Tian	THA-VAs-lh	37
sensory_thalamus_L	Tian	THA-DAm-lh	38
sensory_thalamus_L	Tian	THA-DAl-lh	39
sensory_thalamus_L	Tian	THA-DP-lh	50
sensory_thalamus_R	Tian	THA-VAip-rh	3
sensory_thalamus_R	Tian	THA-VAia-rh	4
sensory_thalamus_R	Tian	THA-VPm-rh	8
sensory_thalamus_R	Tian	THA-VPl-rh	9
sensory_thalamus_R	Tian	THA-VAs-rh	10
sensory_thalamus_R	Tian	THA-DAm-rh	11
sensory_thalamus_R	Tian	THA-DAl-rh	12
sensory_thalamus_R	Tian	THA-DP-rh	23
reg_anterior_insula_L	HCPex	AAIC	68
reg_anterior_insula_L	HCPex	AVI	69
reg_anterior_insula_L	HCPex	MI	75
reg_anterior_insula_R	HCPex	AAIC	248
reg_anterior_insula_R	HCPex	AVI	249
reg_anterior_insula_R	HCPex	MI	255
reg_pgACC_rACC	HCPex	25	136
reg_pgACC_rACC	HCPex	a24	140
reg_pgACC_rACC	HCPex	a24pr	141
reg_pgACC_rACC	HCPex	p32	146
reg_pgACC_rACC	HCPex	p32pr	147
reg_pgACC_rACC	HCPex	s32	149
reg_pgACC_rACC	HCPex	25	316
reg_pgACC_rACC	HCPex	a24	320
reg_pgACC_rACC	HCPex	a24pr	321
reg_pgACC_rACC	HCPex	p32	326
reg_pgACC_rACC	HCPex	p32pr	327
reg_pgACC_rACC	HCPex	s32	329
reg_vmPFC	HCPex	10r	134
reg_vmPFC	HCPex	10v	135
reg_vmPFC	HCPex	25	136
reg_vmPFC	HCPex	10r	314
reg_vmPFC	HCPex	10v	315
reg_vmPFC	HCPex	25	316
reg_mOFC	HCPex	pOFC	148
reg_mOFC	HCPex	OFC	157
reg_mOFC	HCPex	pOFC	328
reg_mOFC	HCPex	OFC	337
reg_vmPFC_mOFC	HCPex	10r	134
reg_vmPFC_mOFC	HCPex	10v	135
reg_vmPFC_mOFC	HCPex	25	136
reg_vmPFC_mOFC	HCPex	pOFC	148
reg_vmPFC_mOFC	HCPex	OFC	157
