effect	roi	comparison_set	n_overlap_subjects	pearson_r	pearson_p	main_mean	comparison_mean
down_minus_passive_FE	expl_amygdala_L	fd_bad_run_exclude	30	0.979218350757001	6.0452995883494444e-21	0.007238395794322996	0.00513592001516372
down_minus_passive_FE	expl_amygdala_L	high_motion_subject_exclude	26	0.9999999999999997	3.8843150512797476e-182	0.007238395794322996	0.0038775655154425362
down_minus_passive_FE	expl_amygdala_R	fd_bad_run_exclude	30	0.9959852955413182	6.752541997911901e-31	-0.0005962782818118505	0.0009083314585344245
down_minus_passive_FE	expl_amygdala_R	high_motion_subject_exclude	26	1.0	0.0	-0.0005962782818118505	0.002711285740728132
down_minus_passive_FE	expl_hippocampus_L	fd_bad_run_exclude	30	0.9865388587308469	1.4470328271323037e-23	0.004997190078552883	0.0025671670225468307
down_minus_passive_FE	expl_hippocampus_L	high_motion_subject_exclude	26	1.0	0.0	0.004997190078552883	0.0049881717213093694
down_minus_passive_FE	expl_hippocampus_R	fd_bad_run_exclude	30	0.9946189585874032	4.0442542667084936e-29	0.0041351644904352725	0.004298116943876569
down_minus_passive_FE	expl_hippocampus_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.0041351644904352725	0.003931740408566279
down_minus_passive_FE	expl_hypothalamus	fd_bad_run_exclude	30	0.9257039653694598	2.417674066590638e-13	-0.019550945341699953	-0.01314378292299807
down_minus_passive_FE	expl_hypothalamus	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.019550945341699953	-0.014950303450370064
down_minus_passive_FE	reg_NAc_L	fd_bad_run_exclude	30	0.997728125864313	2.3566504169001565e-34	-0.0011592532105031282	-0.004878453739608327
down_minus_passive_FE	reg_NAc_L	high_motion_subject_exclude	26	1.0	0.0	-0.0011592532105031282	-0.008094975563625876
down_minus_passive_FE	reg_NAc_R	fd_bad_run_exclude	30	0.9978464722152438	1.1151524632176173e-34	0.0014498519118536603	-0.002472827568029364
down_minus_passive_FE	reg_NAc_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.0014498519118536603	-0.009568017119398484
down_minus_passive_FE	reg_PAG_sphere	fd_bad_run_exclude	30	0.9990035567933986	2.3153356632600906e-39	0.013068672335727817	0.004510948406338381
down_minus_passive_FE	reg_PAG_sphere	high_motion_subject_exclude	26	1.0	0.0	0.013068672335727817	-0.0008009095338191121
down_minus_passive_FE	reg_SMA_preSMA	fd_bad_run_exclude	30	0.9915508313853082	2.1978448775755092e-26	0.00047777837255235875	0.0021536911682536203
down_minus_passive_FE	reg_SMA_preSMA	high_motion_subject_exclude	26	1.0	0.0	0.00047777837255235875	0.002352420580931581
down_minus_passive_FE	reg_anterior_insula_L	fd_bad_run_exclude	30	0.9946158273137546	4.0772489415242496e-29	-0.028358116068623283	-0.03219964279172321
down_minus_passive_FE	reg_anterior_insula_L	high_motion_subject_exclude	26	1.0	0.0	-0.028358116068623283	-0.032312051231901236
down_minus_passive_FE	reg_anterior_insula_R	fd_bad_run_exclude	30	0.9787099505207569	8.453158859078168e-21	-0.03303355976029045	-0.019391036248998718
down_minus_passive_FE	reg_anterior_insula_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.03303355976029045	-0.01714703886402556
down_minus_passive_FE	reg_caudate_L	fd_bad_run_exclude	30	0.9949614680873011	1.613877097835084e-29	0.007034337163945152	0.004611519279812152
down_minus_passive_FE	reg_caudate_L	high_motion_subject_exclude	26	1.0	0.0	0.007034337163945152	0.002673731489966695
down_minus_passive_FE	reg_caudate_R	fd_bad_run_exclude	30	0.9930007129688522	1.58923350708488e-27	0.0029416788778634686	0.0001241927035152912
down_minus_passive_FE	reg_caudate_R	high_motion_subject_exclude	26	1.0	0.0	0.0029416788778634686	-0.00047775721535659756
down_minus_passive_FE	reg_dlPFC_IFJ_L	fd_bad_run_exclude	30	0.9927314103972475	2.691688269329255e-27	0.017964108063924043	0.019268777648297448
down_minus_passive_FE	reg_dlPFC_IFJ_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.017964108063924043	0.01576304429461463
down_minus_passive_FE	reg_dlPFC_IFJ_R	fd_bad_run_exclude	30	0.9967400527042324	3.674997479122334e-32	-0.0051201761163996926	-0.00288197947666049
down_minus_passive_FE	reg_dlPFC_IFJ_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.0051201761163996926	-0.006801432786652675
down_minus_passive_FE	reg_mOFC	fd_bad_run_exclude	30	0.9946541207322395	3.6903765506920405e-29	-0.0038531585032063904	-0.007600417034700513
down_minus_passive_FE	reg_mOFC	high_motion_subject_exclude	26	1.0	0.0	-0.0038531585032063904	-0.01203075314585406
down_minus_passive_FE	reg_pgACC_rACC	fd_bad_run_exclude	30	0.971534024976251	4.720566862791248e-19	0.0034607461808870235	-0.0036809699726291
down_minus_passive_FE	reg_pgACC_rACC	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.0034607461808870235	-0.003068290968747953
down_minus_passive_FE	reg_putamen_L	fd_bad_run_exclude	30	0.9677940491563546	2.5974523759848368e-18	0.020158568767576733	0.021418799293072274
down_minus_passive_FE	reg_putamen_L	high_motion_subject_exclude	26	1.0	0.0	0.020158568767576733	0.01319881117132564
down_minus_passive_FE	reg_putamen_R	fd_bad_run_exclude	30	0.9941912799381738	1.1768102071202552e-28	0.01358481933659112	0.014627300924621523
down_minus_passive_FE	reg_putamen_R	high_motion_subject_exclude	26	1.0	0.0	0.01358481933659112	0.011218429247562129
down_minus_passive_FE	reg_vmPFC	fd_bad_run_exclude	30	0.9852470020971491	5.1788216840299427e-23	-6.648342153339675e-05	-0.011556299682706595
down_minus_passive_FE	reg_vmPFC	high_motion_subject_exclude	26	1.0	0.0	-6.648342153339675e-05	-0.010437143357613912
down_minus_passive_FE	reg_vmPFC_mOFC	fd_bad_run_exclude	30	0.9879740232626183	3.0117555177873844e-24	-0.0021247341805561023	-0.009406074710811178
down_minus_passive_FE	reg_vmPFC_mOFC	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.0021247341805561023	-0.01130335066969005
down_minus_passive_FE	sensory_S1_L	fd_bad_run_exclude	30	0.9939325680888699	2.162546729356165e-28	0.005587017417631366	0.007518679633115729
down_minus_passive_FE	sensory_S1_L	high_motion_subject_exclude	26	1.0	0.0	0.005587017417631366	0.00825503608211875
down_minus_passive_FE	sensory_S1_R	fd_bad_run_exclude	30	0.9947301132425315	3.0214908503123786e-29	0.0028057542707150183	0.0044646983073713875
down_minus_passive_FE	sensory_S1_R	high_motion_subject_exclude	26	1.0	0.0	0.0028057542707150183	0.004659575262429336
down_minus_passive_FE	sensory_S2_operculum_L	fd_bad_run_exclude	30	0.9976803701907616	3.1524703308141455e-34	-0.027584684377705507	-0.026162305342343945
down_minus_passive_FE	sensory_S2_operculum_L	high_motion_subject_exclude	26	1.0	0.0	-0.027584684377705507	-0.025142485866896234
down_minus_passive_FE	sensory_S2_operculum_R	fd_bad_run_exclude	30	0.990202345095311	1.7327824663619663e-25	-0.03882825282882109	-0.04009946353423099
down_minus_passive_FE	sensory_S2_operculum_R	high_motion_subject_exclude	26	1.0	0.0	-0.03882825282882109	-0.03613920962939469
down_minus_passive_FE	sensory_dACC_MCC	fd_bad_run_exclude	30	0.9950478977517903	1.2673510643185678e-29	-0.00041446294882475877	-0.0021403096344632406
down_minus_passive_FE	sensory_dACC_MCC	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.00041446294882475877	-0.0017566674863561415
down_minus_passive_FE	sensory_insula_all_L	fd_bad_run_exclude	30	0.9978835614695988	8.745901464931922e-35	-0.022546728496143423	-0.025349943528029446
down_minus_passive_FE	sensory_insula_all_L	high_motion_subject_exclude	26	1.0	0.0	-0.022546728496143423	-0.026962957121073626
down_minus_passive_FE	sensory_insula_all_R	fd_bad_run_exclude	30	0.9927485681098531	2.6043589656005483e-27	-0.03548390159355194	-0.02425674380113681
down_minus_passive_FE	sensory_insula_all_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.03548390159355194	-0.024726780767265994
down_minus_passive_FE	sensory_posterior_insula_L	fd_bad_run_exclude	30	0.9721356203783293	3.513383273099643e-19	-0.025622722576372325	-0.03009344613722836
down_minus_passive_FE	sensory_posterior_insula_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.025622722576372325	-0.026602479320270225
