value	label_raw	label_clean	label_clean_lower	hemi_label	source
1	HIP-head-m1-rh	HIP-head-m1-rh	hip-head-m1-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
2	HIP-head-m2-rh	HIP-head-m2-rh	hip-head-m2-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
3	THA-VAip-rh	THA-VAip-rh	tha-vaip-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
4	THA-VAia-rh	THA-VAia-rh	tha-vaia-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
5	HIP-head-l-rh	HIP-head-l-rh	hip-head-l-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
6	HIP-body-rh	HIP-body-rh	hip-body-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
7	HIP-tail-rh	HIP-tail-rh	hip-tail-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
8	THA-VPm-rh	THA-VPm-rh	tha-vpm-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
9	THA-VPl-rh	THA-VPl-rh	tha-vpl-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
10	THA-VAs-rh	THA-VAs-rh	tha-vas-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
11	THA-DAm-rh	THA-DAm-rh	tha-dam-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
12	THA-DAl-rh	THA-DAl-rh	tha-dal-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
13	PUT-VA-rh	PUT-VA-rh	put-va-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
14	PUT-DA-rh	PUT-DA-rh	put-da-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
15	PUT-VP-rh	PUT-VP-rh	put-vp-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
16	PUT-DP-rh	PUT-DP-rh	put-dp-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
17	CAU-VA-rh	CAU-VA-rh	cau-va-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
18	CAU-DA-rh	CAU-DA-rh	cau-da-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
19	CAU-body-rh	CAU-body-rh	cau-body-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
20	CAU-tail-rh	CAU-tail-rh	cau-tail-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
21	lAMY-rh	lAMY-rh	lamy-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
22	mAMY-rh	mAMY-rh	mamy-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
23	THA-DP-rh	THA-DP-rh	tha-dp-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
24	NAc-shell-rh	NAc-shell-rh	nac-shell-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
25	NAc-core-rh	NAc-core-rh	nac-core-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
26	pGP-rh	pGP-rh	pgp-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
27	aGP-rh	aGP-rh	agp-rh	R	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
28	HIP-head-m1-lh	HIP-head-m1-lh	hip-head-m1-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
29	HIP-head-m2-lh	HIP-head-m2-lh	hip-head-m2-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
30	THA-VAip-lh	THA-VAip-lh	tha-vaip-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
31	THA-VAia-lh	THA-VAia-lh	tha-vaia-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
32	HIP-head-l-lh	HIP-head-l-lh	hip-head-l-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
33	HIP-body-lh	HIP-body-lh	hip-body-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
34	HIP-tail-lh	HIP-tail-lh	hip-tail-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
35	THA-VPm-lh	THA-VPm-lh	tha-vpm-lh	L	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_label.txt
