subject	run	status	n_trials	n_rois
sub-01	3	OK	10	32
sub-01	7	OK	10	32
sub-02	3	OK	10	32
sub-02	7	OK	10	32
sub-03	3	OK	10	32
sub-03	7	OK	10	32
sub-04	3	OK	10	32
sub-04	7	OK	10	32
sub-05	3	OK	10	32
sub-05	7	OK	10	32
sub-06	3	OK	10	32
sub-06	7	OK	10	32
sub-07	3	OK	10	32
sub-07	7	OK	10	32
sub-08	3	OK	10	32
sub-08	7	OK	10	32
sub-09	3	OK	10	32
sub-09	7	OK	10	32
sub-10	3	OK	10	32
sub-10	7	OK	10	32
sub-11	3	OK	10	32
sub-11	7	OK	10	32
sub-12	3	OK	10	32
sub-12	7	OK	10	32
sub-13	3	OK	10	32
sub-13	7	OK	10	32
sub-14	3	OK	10	32
sub-14	7	OK	10	32
sub-15	3	OK	10	32
sub-15	7	OK	10	32
sub-16	3	OK	10	32
sub-16	7	OK	10	32
sub-17	3	OK	10	32
sub-17	7	OK	10	32
sub-18	3	OK	10	32
sub-18	7	OK	10	32
sub-19	3	OK	10	32
sub-19	7	OK	10	32
sub-20	3	OK	10	32
sub-20	7	OK	10	32
sub-21	3	OK	10	32
sub-21	7	OK	10	32
sub-22	3	OK	10	32
sub-22	7	OK	10	32
sub-23	3	OK	10	32
sub-23	7	OK	10	32
sub-24	3	OK	10	32
sub-24	7	OK	10	32
sub-25	3	OK	10	32
sub-25	7	OK	10	32
sub-26	3	OK	10	32
sub-26	7	OK	10	32
sub-27	3	OK	10	32
sub-27	7	OK	10	32
sub-28	3	OK	10	32
sub-28	7	OK	10	32
sub-29	3	OK	10	32
sub-29	7	OK	10	32
sub-30	3	OK	10	32
sub-30	7	OK	10	32
sub-31	3	OK	10	32
sub-31	7	OK	10	32
sub-32	3	OK	10	32
sub-32	7	OK	10	32
sub-33	3	OK	10	32
sub-33	7	OK	10	32
