analysis	formula	term	estimate	n_observations	n_clusters	cr2_se	cr2_t	cr2_df_satterthwaite	cr2_p	wild_cluster_bootstrap_type	wild_cluster_B	wild_cluster_t	wild_cluster_p	wild_cluster_ci_low	wild_cluster_ci_high
task_validation_standardized_up_vs_passive	rating_z_subject ~ is_up + is_down + temperature_z_subject +      trial_in_run_c + run_centered_subject + passive_context_shifted +      factor(subject)	is_up	0.340193862054928	3201	33	0.0765751499314465	4.44261437763406	31.9910476633672	9.96025510291271e-05	null-imposed fnw11, Rademacher, R-lean	9999	4.42264369712619	0.0001000100010001		
task_validation_standardized_down_vs_passive	rating_z_subject ~ is_up + is_down + temperature_z_subject +      trial_in_run_c + run_centered_subject + passive_context_shifted +      factor(subject)	is_down	-0.288539763153337	3201	33	0.0701676808492575	-4.11214621405561	31.9954406085702	0.0002553590380888	null-imposed fnw11, Rademacher, R-lean	9999	-4.1022998578468	0.0		
task_validation_raw_up_vs_passive	rating_raw ~ is_up + is_down + temperature_z_subject + trial_in_run_c +      run_centered_subject + passive_context_shifted + factor(subject)	is_up	15.3208687260394	3201	33	4.28663832330333	3.57409876236841	31.9910476633672	0.0011393179119119	null-imposed fnw11, Rademacher, R-lean	9999	3.55680211434284	0.0008000800080008		
task_validation_raw_down_vs_passive	rating_raw ~ is_up + is_down + temperature_z_subject + trial_in_run_c +      run_centered_subject + passive_context_shifted + factor(subject)	is_down	-13.140555910609	3201	33	3.52798419032146	-3.72466405792246	31.9954406085702	0.0007540503381001	null-imposed fnw11, Rademacher, R-lean	9999	-3.71447124098356	0.0005000500050005		
mean_direction_corrected_success	reg_success_z ~ 1	(Intercept)	0.314184967518255	660	33	0.0550541327420892	5.70683710503824	32.0	2.54046764247672e-06	null-imposed Rademacher cluster sign-flip t; intercept-only implementation; G=33	9999	5.70683710503823	0.0001		
up_regulation_success	prediction_error_z ~ 1	(Intercept)	0.33342197411634	330	33	0.0735995883900114	4.53021520106205	32.0	7.73984329306707e-05	null-imposed Rademacher cluster sign-flip t; intercept-only implementation; G=33	9999	4.53021520106205	0.0002		
down_regulation_success	down_success_z ~ 1	(Intercept)	0.294947960920171	330	33	0.0675666082049586	4.36529180250497	32.0	0.0001242426189223	null-imposed Rademacher cluster sign-flip t; intercept-only implementation; G=33	9999	4.36529180250497	0.0001		
up_minus_down_success_asymmetry	reg_success_z ~ is_up + temperature_z_subject + trial_in_run_c +      run_centered_subject + factor(subject)	is_up	0.0423200471898782	660	33	0.0884589662342199	0.478414444476143	30.8790094253748	0.635725271914973	null-imposed fnw11, Rademacher, R-lean	9999	0.473228563512691	0.631763176317632		
passive_run_position_slope	rating_z_subject ~ temperature_z_subject + run_centered_subject +      I(run_centered_subject^2) + trial_in_run_c + passive_context_shifted +      factor(subject)	run_centered_subject	-0.0265832857089308	2541	33	0.0116032842749364	-2.29101391287568	31.9998735782394	0.0286944018446299	null-imposed fnw11, Rademacher, R-lean	9999	-2.27423018801435	0.0306030603060306		
state_dependence_direction_interaction	reg_success_z ~ is_up_c + expected_pain_c + is_up_c:expected_pain_c +      global_trial_c + factor(subject)	is_up_c:expected_pain_c	-0.116607641364228	660	33	0.0684189483951469	-1.70431794260812	31.149548641261	0.0982787396150691	null-imposed fnw11, Rademacher, R-lean	9999	-1.66499842775876	0.0968096809680968		
