analysis_set	name	mean	stat	p	q
fd_bad_run_exclude	reg_anterior_insula_L	-0.0321996427917232	-4.459204514343107	0.0001136459056345	0.0013637508676144
high_motion_subject_exclude	reg_anterior_insula_L	-0.0323120512319012	-3.928231997827045	0.0005955897190419	0.007147076628503
main	reg_anterior_insula_L	-0.0283581160686232	-4.034944726366517	0.0003174470027065	0.0038093640324782
fd_bad_run_exclude	sensory_S2_operculum_L	-0.0261623053423439	-3.113956248952399	0.0041298780463653	0.0113571646275048
high_motion_subject_exclude	sensory_S2_operculum_L	-0.0251424858668962	-2.7660891127115663	0.0105119977507355	0.0289079938145227
main	sensory_S2_operculum_L	-0.0275846843777055	-3.431564598665094	0.0016748649553178	0.0061411715028321
fd_bad_run_exclude	sensory_S2_operculum_R	-0.0400994635342309	-4.539057439852419	9.114226871418956e-05	0.001002564955856
high_motion_subject_exclude	sensory_S2_operculum_R	-0.0361392096293946	-3.893173358254851	0.0006515246779238	0.0045863950376863
main	sensory_S2_operculum_R	-0.038828252828821	-4.995563506991329	2.012956664646158e-05	0.000221425233111
fd_bad_run_exclude	sensory_insula_all_L	-0.0253499435280294	-3.979398882593952	0.0004230702984629	0.0023268866415462
high_motion_subject_exclude	sensory_insula_all_L	-0.0269629571210736	-3.796536878747057	0.000833890006852	0.0045863950376863
main	sensory_insula_all_L	-0.0225467284961434	-3.7089487742381326	0.0007873013373587	0.0043301573554731
fd_bad_run_exclude	sensory_insula_all_R	-0.0242567438011368	-2.1774963075127967	0.037723590424974	0.0691599157791191
high_motion_subject_exclude	sensory_insula_all_R	-0.0247267807672659	-1.9473652872341949	0.0628064804363732	0.115145214133351
main	sensory_insula_all_R	-0.0354839015935519	-2.5622468188853538	0.0153097429318489	0.0280678620417231
fd_bad_run_exclude	sensory_posterior_insula_L	-0.0300934461372283	-3.8237532412597512	0.0006442054648437	0.0023620867044271
high_motion_subject_exclude	sensory_posterior_insula_L	-0.0266024793202702	-3.1515445091858973	0.0041834008591011	0.0153391364833709
main	sensory_posterior_insula_L	-0.0256227225763723	-3.2153976439036493	0.0029740013691603	0.0081785037651908
fd_bad_run_exclude	sensory_posterior_insula_R	-0.0278270168753806	-2.3253106214714863	0.0272562860829992	0.0599638293825984
high_motion_subject_exclude	sensory_posterior_insula_R	-0.0285053277419557	-2.127151733350744	0.0434535399762016	0.0955977879476436
main	sensory_posterior_insula_R	-0.0382061228067896	-2.762473646822841	0.0094272251506231	0.0207398953313708
