analysis_set	name	mean	stat	p	q
fd_bad_run_exclude	Ceko_MPA2_Thermal	-0.0024017765939826	-2.655893585250109	0.01271870315742	0.0635935157871002
high_motion_subject_exclude	Ceko_MPA2_Thermal	-0.0017902002747808	-1.9234742517864103	0.0658797534850915	0.1646993837127289
main	Ceko_MPA2_Thermal	-0.0020031447174351	-2.2948064933831995	0.0284503439051584	0.0610021424073409
fd_bad_run_exclude	Geuter_cPDM	-0.0034649399418237	-1.6100089411398957	0.1182289406723345	0.2281730935346437
high_motion_subject_exclude	Geuter_cPDM	-0.0030744602568219	-1.2767158106818812	0.2134347644144497	0.3557246073574162
main	Geuter_cPDM	-0.0049932484594247	-2.263806143437002	0.0305010712036704	0.0610021424073409
fd_bad_run_exclude	NPS	-0.0041556651252428	-3.659420093198787	0.0009999598914844	0.0099995989148442
high_motion_subject_exclude	NPS	-0.00421334806725	-3.567108776180206	0.0014914837433542	0.0081811753557945
main	NPS	-0.0048399097908744	-4.451101062521039	9.71580248063801e-05	0.0009715802480638
fd_bad_run_exclude	SIIPS1	-0.0004040736684219	-0.1858987755213858	0.8538183635686043	0.8538183635686043
high_motion_subject_exclude	SIIPS1	0.0002302280169216	0.1061715962278046	0.9162935669802824	0.9162935669802824
main	SIIPS1	-0.0013115258488494	-0.6345358031640369	0.5302419494600619	0.5817695071502853
