iteration	circular_shift_r_with_success	n_subjects
1	-0.1405033724847236	33
2	-0.0508096955654835	33
3	-0.0529352967154089	33
4	-0.0463894572894525	33
5	-0.0315393004540236	33
6	-0.1324675252134798	33
7	-0.2154396646733593	33
8	-0.2069227349184398	33
9	0.1703057649274714	33
10	0.4390372382871589	33
11	-0.071929652461996	33
12	0.3022862704162848	33
13	0.3964073906986048	33
14	0.2046281162976919	33
15	0.0495326126259325	33
16	0.1964689815706197	33
17	0.2824818115044331	33
18	0.2028634316257832	33
19	0.1415374033382992	33
20	0.2972364026601952	33
21	0.2173215339463445	33
22	0.1457172937686155	33
23	0.281649534442822	33
24	-0.3695752659631972	33
25	0.4255220882042068	33
26	-0.1976047922299738	33
27	0.1810749992771057	33
28	0.1785567951716617	33
29	0.1794397675653563	33
30	-0.1389911183853956	33
31	0.1423524866652481	33
32	-0.0318896805564926	33
33	0.2553464559900636	33
34	-0.2303248777758798	33
35	0.0611758181131269	33
36	0.2582906944752302	33
37	-0.1814606562402158	33
38	-0.0283180439213662	33
39	0.111810374162195	33
40	0.0943530208676491	33
41	0.1818364851288069	33
42	0.0088252203577509	33
43	0.2220118632431572	33
44	0.0918330521754236	33
45	0.2058853375994145	33
46	-0.0504964826585818	33
47	0.0232231951049751	33
48	0.0785232911983307	33
49	0.2605204396244372	33
50	-0.0588525947579567	33
51	0.2243055927623719	33
52	-0.0017961449857436	33
53	-0.100621144862724	33
54	0.0228128454721914	33
55	-0.3002712553288911	33
56	0.1269482450301194	33
57	-0.1796187151873784	33
58	0.1812299361962835	33
59	0.1086058764548357	33
60	-0.0294242206078973	33
61	0.1423065380508685	33
62	-0.1013770022058502	33
63	0.3283545301028017	33
64	-0.0216147105170714	33
65	0.0722887460294603	33
66	0.0187771659183305	33
67	0.1130030456572421	33
68	-0.2393027143598151	33
69	-0.1372327829307324	33
70	-0.1133978955928458	33
71	-0.0371242829867276	33
72	-0.1105249015277409	33
73	0.0060766478812344	33
74	0.3921791639127756	33
75	0.0056529232554477	33
76	-0.1021307433957038	33
77	-0.264287613214796	33
78	0.2078211888672178	33
79	0.1778284698295598	33
80	-0.0525136300490657	33
81	0.2044241890788757	33
82	0.0787980665317274	33
83	0.3437448289262674	33
84	-0.0267751924406582	33
85	0.2059672899342027	33
86	0.3821910460946528	33
87	0.083239794750692	33
88	0.1747254892291692	33
89	0.147968802028842	33
90	0.0157596178371336	33
91	0.3024743615005676	33
92	0.2630252958644841	33
93	0.2661408969442603	33
94	0.0928870861104781	33
95	0.0158348819455958	33
96	0.0970661881419168	33
97	0.1882723692874706	33
98	0.1682165786753983	33
99	0.2870031722206422	33
100	-0.0201665303659923	33
101	0.2655003314176128	33
102	0.2721288258184459	33
103	0.2384974730911069	33
104	-0.0765975835483238	33
105	0.3465601601494814	33
106	0.0132259176269041	33
107	0.0334880032163184	33
108	0.33238055079398	33
109	0.1018479342550493	33
110	0.0106380807403275	33
111	0.1680923382296688	33
112	-0.2887283637928131	33
113	-0.218640622293373	33
114	0.0923227510443518	33
115	-0.0285097219557651	33
116	0.1843352814259587	33
117	0.3042254463309397	33
118	-0.166673325751412	33
119	-0.3745899831787674	33
120	0.2474719087125662	33
121	-0.0517335270495294	33
122	-0.0607053647288522	33
123	0.2162194253456843	33
124	0.0734360901848155	33
125	0.2177246670087912	33
126	0.3510012334730376	33
127	0.032170788839112	33
128	0.2779987170585145	33
129	0.0245257710547123	33
130	0.0440797769842344	33
131	0.1870577819574839	33
132	-0.0452074196384053	33
133	0.1054162329798303	33
134	0.0148599204818008	33
135	-0.2521101354898987	33
136	-0.2059452613055062	33
137	0.0347242248079409	33
138	0.3195796066070109	33
139	0.0221131676659353	33
140	0.5112682776354543	33
141	0.1395460461675287	33
142	0.2294016220863881	33
143	0.1186311236741958	33
144	0.0225652361655424	33
145	0.325916749151619	33
146	0.1086744001955257	33
147	0.0507027655523131	33
148	0.2106724493559922	33
149	-0.0008250449947254	33
150	-0.0074349746270045	33
151	-0.0557233611765998	33
152	0.1232192144920677	33
153	0.2656544514915666	33
154	0.0601146671586636	33
155	-0.1377313618111413	33
156	0.0585128607849037	33
157	0.1996005810369276	33
158	-0.0038887225047882	33
159	0.1299283669241433	33
160	-0.0603599904969364	33
161	0.2613071810030898	33
162	-0.0355989207607351	33
163	0.2333077697330142	33
164	0.1343962777457346	33
165	-0.1119547279561897	33
166	0.0584280545972974	33
167	-0.1318882725091391	33
168	0.0617356129938371	33
169	0.1481112499278402	33
170	-0.056144837855511	33
171	-0.2422151235352628	33
172	0.1753943615589742	33
173	0.1030182715093016	33
174	0.0175349261909353	33
175	-0.1767217122126098	33
176	-0.1820918298119344	33
177	0.1150048025341457	33
178	0.2977275407807785	33
179	-0.1779328516298199	33
180	0.1136108866606884	33
181	-0.0238426686374574	33
182	0.1040589295953971	33
183	0.0809116232184992	33
184	0.1647118235273305	33
185	0.2162183322022375	33
186	-0.2023027757902273	33
187	0.0005267783569829	33
188	-0.1354329869377978	33
189	0.5864854915245993	33
190	-0.2309222520740196	33
191	0.1395451210387355	33
192	0.0110387178781166	33
193	0.3121736730972866	33
194	0.0353029162893011	33
195	0.240859329566259	33
196	0.0321086819900042	33
197	-0.0604829490715702	33
198	0.2511642707888862	33
199	0.3514611987252505	33
200	-0.0390532799068489	33
201	0.2695769308458721	33
202	0.2331969668818026	33
203	-0.0681476560637734	33
204	0.3412401936374484	33
205	0.0244565475038581	33
206	0.0996873973257118	33
207	-0.2521619190609724	33
208	0.1981177582508456	33
209	-0.1079275885995257	33
210	0.2262296892913096	33
211	-0.2791070064127174	33
212	-0.1878148093903903	33
213	-0.2740117756210105	33
214	-0.0973547199689877	33
215	0.2319535746922626	33
216	0.415029106011304	33
217	0.1322373749983468	33
218	0.3099744426168158	33
219	0.0004612366488611	33
220	0.29380121395301	33
221	-0.0811294732052842	33
222	-0.0898114581723723	33
223	0.2089249974375815	33
224	0.3779491425096127	33
225	0.1174637160325377	33
226	0.0709572602685385	33
227	-0.2034967982011253	33
228	0.3820749972239354	33
229	-0.0150220856102786	33
230	-0.1729926213761368	33
231	0.2133525266698121	33
232	0.0919800696543313	33
233	0.332994764172311	33
234	0.2927563155899648	33
235	0.0010663138855425	33
236	0.0093716764267286	33
237	0.2729221472586259	33
238	0.3830567456691203	33
239	-0.0639569113871259	33
240	-0.1006000081746898	33
241	-0.2775321521624183	33
242	0.1052094821960122	33
243	0.1497740897127958	33
244	0.3417729576519689	33
245	0.1262624986816099	33
246	0.175576348813406	33
247	0.0318518453525703	33
248	-0.1307820346401678	33
249	0.3621902839526204	33
250	0.0743667313632115	33
251	0.2770557697080319	33
252	0.4119112763362335	33
253	0.0658370856790972	33
254	0.0297311919998437	33
255	0.3222459088475778	33
256	0.0160757285992431	33
257	-0.2030990510527835	33
