reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
down	adjacent_mean_passive	sensory_S2_operculum_L	33	-255.83053479606315	555.557592253011	96.7101634077955	-2.6453324633245465	0.01254525267924645	0.2675950147079577
down	adjacent_mean_passive	sensory_posterior_insula_R	33	-238.49414465688315	542.6015168251131	94.45480016692183	-2.5249552615156987	0.016724688419247357	0.2675950147079577
down	adjacent_mean_passive	expl_hypothalamus	33	-273.3105212650359	716.9578845391228	124.80634795952635	-2.1898767629485336	0.03593753507337133	0.3833337074492942
down	adjacent_mean_passive	reg_caudate_R	33	171.3703435439297	499.4091838065741	86.93598007979668	1.97122461133621	0.05739795395512157	0.45695327289954485
down	adjacent_mean_passive	sensory_S1_L	33	-163.88219147203674	543.3318975649785	94.58194313407279	-1.7327006196069448	0.09277801020694383	0.45695327289954485
down	adjacent_mean_passive	expl_hippocampus_R	33	156.2209407240724	529.3975627092459	92.15628678508509	1.695173993808915	0.09975353451670481	0.45695327289954485
down	adjacent_mean_passive	expl_amygdala_R	33	194.4460784118255	667.1208137927325	116.13082750429645	1.67437090211582	0.10380574182968566	0.45695327289954485
down	adjacent_mean_passive	expl_amygdala_L	33	204.47634849722812	723.3991852573055	125.92763448985335	1.6237607362798818	0.11423831822488621	0.45695327289954485
down	adjacent_mean_passive	reg_caudate_L	33	149.61965301714582	613.1164329088749	106.72987146869582	1.4018535856761498	0.17058484152335832	0.5807361271792904
down	adjacent_mean_passive	reg_putamen_R	33	141.43082284697226	634.098463624273	110.38237419282278	1.2812808555821797	0.20930251684537265	0.5807361271792904
down	adjacent_mean_passive	sensory_insula_all_R	33	-146.33408129440664	671.229861539811	116.84612090431793	-1.2523657624392648	0.2195125322343825	0.5807361271792904
down	adjacent_mean_passive	sensory_S1_R	33	-119.85678955769717	567.1913965020616	98.73534878131768	-1.2139197464442035	0.23366186432236885	0.5807361271792904
down	adjacent_mean_passive	reg_NAc_R	33	149.4934026181623	710.9440373938168	123.75947154519561	1.2079350432873248	0.23592405166658673	0.5807361271792904
down	adjacent_mean_passive	reg_dlPFC_IFJ_R	33	-138.0849801422499	707.9203764006894	123.23311972710732	-1.1205184162182307	0.27083224981440085	0.6172702197804077
down	adjacent_mean_passive	reg_NAc_L	33	127.53788286472061	679.9995275950444	118.3727238147272	1.0774262748598942	0.2893454155220661	0.6172702197804077
down	adjacent_mean_passive	reg_anterior_insula_L	33	-92.72863292858517	567.4105407909257	98.77349690543922	-0.9388007495306044	0.35486560111711124	0.6762467602313993
