subject	run	condition	feature	value
sub-01	1	passive	sensory_S1_L	-1107.8059555962243
sub-01	1	passive	sensory_S1_L	-858.2992130980072
sub-01	1	passive	sensory_S1_L	-1093.6223943089212
sub-01	1	passive	sensory_S1_L	-1208.679654782918
sub-01	1	passive	sensory_S1_L	-1358.079437261109
sub-01	1	passive	sensory_S1_L	-913.7108894237244
sub-01	1	passive	sensory_S1_L	-1928.9158302697213
sub-01	1	passive	sensory_S1_L	-2071.1585470729897
sub-01	1	passive	sensory_S1_L	-1219.7815229839034
sub-01	1	passive	sensory_S1_L	-2106.937624949101
sub-01	1	passive	sensory_S1_L	-217.7059542016796
sub-01	2	passive	sensory_S1_L	-10278.546882750936
sub-01	2	passive	sensory_S1_L	-1603.8922439131657
sub-01	2	passive	sensory_S1_L	-1504.9125367456943
sub-01	2	passive	sensory_S1_L	-1188.56254740834
sub-01	2	passive	sensory_S1_L	-1795.63634410773
sub-01	2	passive	sensory_S1_L	-1407.55193374562
sub-01	2	passive	sensory_S1_L	-681.3026009384312
sub-01	2	passive	sensory_S1_L	-2180.165467204672
sub-01	2	passive	sensory_S1_L	-1529.4197145008084
sub-01	2	passive	sensory_S1_L	-1954.7571352967625
sub-01	2	passive	sensory_S1_L	-975.4910995727988
sub-01	3	up	sensory_S1_L	555.9020056016961
sub-01	3	up	sensory_S1_L	-4.095931824665058
sub-01	3	up	sensory_S1_L	-1884.527070127473
sub-01	3	up	sensory_S1_L	-1996.3980839080868
sub-01	3	up	sensory_S1_L	3571.634598228742
sub-01	3	up	sensory_S1_L	-1509.1840520130263
sub-01	3	up	sensory_S1_L	570.4143480503626
sub-01	3	up	sensory_S1_L	838.0041873880182
sub-01	3	up	sensory_S1_L	-12.01386910669089
sub-01	3	up	sensory_S1_L	680.2001144040041
sub-01	4	passive	sensory_S1_L	1274.5642075151554
sub-01	4	passive	sensory_S1_L	-144.12665096147975
sub-01	4	passive	sensory_S1_L	-261.4713261219622
sub-01	4	passive	sensory_S1_L	-554.8689642616773
sub-01	4	passive	sensory_S1_L	-3152.694888170072
sub-01	4	passive	sensory_S1_L	1234.8281956616663
sub-01	4	passive	sensory_S1_L	-440.5135088371403
sub-01	4	passive	sensory_S1_L	-873.6014834023281
sub-01	4	passive	sensory_S1_L	595.2884662567963
sub-01	4	passive	sensory_S1_L	-1148.7843222734082
sub-01	4	passive	sensory_S1_L	-186.236712327438
sub-01	5	passive	sensory_S1_L	4931.641424257341
sub-01	5	passive	sensory_S1_L	371.27251520704885
sub-01	5	passive	sensory_S1_L	-869.2661068421316
sub-01	5	passive	sensory_S1_L	-959.812485723287
sub-01	5	passive	sensory_S1_L	457.3992286401965
sub-01	5	passive	sensory_S1_L	-1434.9287520665875
sub-01	5	passive	sensory_S1_L	1943.5589175865043
sub-01	5	passive	sensory_S1_L	737.8670782062181
sub-01	5	passive	sensory_S1_L	-184.82346962893644
sub-01	5	passive	sensory_S1_L	-1068.1776234376266
sub-01	5	passive	sensory_S1_L	580.2326536687251
sub-01	6	passive	sensory_S1_L	-2653.2543199588363
sub-01	6	passive	sensory_S1_L	122.93979180920589
sub-01	6	passive	sensory_S1_L	1894.9592274098304
sub-01	6	passive	sensory_S1_L	-1331.3328459265344
sub-01	6	passive	sensory_S1_L	26.967455299407447
sub-01	6	passive	sensory_S1_L	-609.0076141377658
sub-01	6	passive	sensory_S1_L	243.7745200451639
sub-01	6	passive	sensory_S1_L	-1486.2883777515278
sub-01	6	passive	sensory_S1_L	700.3614515928439
sub-01	6	passive	sensory_S1_L	695.3215752310753
sub-01	6	passive	sensory_S1_L	-1097.6497016447756
sub-01	7	down	sensory_S1_L	1269.3022212010242
sub-01	7	down	sensory_S1_L	-196.9081253534277
sub-01	7	down	sensory_S1_L	1953.4304832924167
sub-01	7	down	sensory_S1_L	268.99569533825706
sub-01	7	down	sensory_S1_L	-753.877313078754
sub-01	7	down	sensory_S1_L	-140.41535799086705
sub-01	7	down	sensory_S1_L	1840.033355850892
sub-01	7	down	sensory_S1_L	1172.0585866703568
sub-01	7	down	sensory_S1_L	510.16513690304055
sub-01	7	down	sensory_S1_L	-759.2439364336351
sub-01	8	passive	sensory_S1_L	-476.782304119824
sub-01	8	passive	sensory_S1_L	-2309.056111689732
sub-01	8	passive	sensory_S1_L	-829.3884664057218
sub-01	8	passive	sensory_S1_L	-858.1593130937988
sub-01	8	passive	sensory_S1_L	930.0313872591178
sub-01	8	passive	sensory_S1_L	-1999.484204239952
sub-01	8	passive	sensory_S1_L	-67.54843974589858
sub-01	8	passive	sensory_S1_L	-535.5416132091959
sub-01	8	passive	sensory_S1_L	-2066.66596879239
sub-01	8	passive	sensory_S1_L	1121.0896050741044
sub-01	8	passive	sensory_S1_L	-79.10844924339835
sub-01	9	passive	sensory_S1_L	-211.09008540446484
sub-01	9	passive	sensory_S1_L	-4079.474976632107
sub-01	9	passive	sensory_S1_L	116.68131010748948
sub-01	9	passive	sensory_S1_L	-976.8341693040056
sub-01	9	passive	sensory_S1_L	381.9619689461399
sub-01	9	passive	sensory_S1_L	-1517.6807612803643
sub-01	9	passive	sensory_S1_L	1906.2914762700136
sub-01	9	passive	sensory_S1_L	-358.1964459974206
sub-01	9	passive	sensory_S1_L	1237.7467191959877
sub-01	9	passive	sensory_S1_L	-643.4987061267275
sub-01	9	passive	sensory_S1_L	-238.5719879130047
sub-02	1	passive	sensory_S1_L	1507.8013858412878
sub-02	1	passive	sensory_S1_L	-1016.5245626491196
sub-02	1	passive	sensory_S1_L	1251.8842129533057
sub-02	1	passive	sensory_S1_L	-1909.223201219453
sub-02	1	passive	sensory_S1_L	-1132.2587824522493
sub-02	1	passive	sensory_S1_L	-1630.548361232954
sub-02	1	passive	sensory_S1_L	-1526.0879336899752
sub-02	1	passive	sensory_S1_L	-930.3705476221364
sub-02	1	passive	sensory_S1_L	-1500.0450486292798
sub-02	1	passive	sensory_S1_L	35.18603784631034
sub-02	1	passive	sensory_S1_L	-2169.955643730682
sub-02	2	passive	sensory_S1_L	276.63526796992267
sub-02	2	passive	sensory_S1_L	-1413.8307491110586
sub-02	2	passive	sensory_S1_L	-2451.4807424061137
sub-02	2	passive	sensory_S1_L	-2036.1183931773085
sub-02	2	passive	sensory_S1_L	-3419.3004583484926
sub-02	2	passive	sensory_S1_L	-973.7280147127784
sub-02	2	passive	sensory_S1_L	-2168.481641968217
sub-02	2	passive	sensory_S1_L	-353.3826505136003
sub-02	2	passive	sensory_S1_L	-2397.7141312463827
sub-02	2	passive	sensory_S1_L	-1539.589394241725
sub-02	2	passive	sensory_S1_L	-1374.9551158140894
sub-02	3	down	sensory_S1_L	-1429.1675209985642
sub-02	3	down	sensory_S1_L	-711.9474511568378
sub-02	3	down	sensory_S1_L	-308.3118322590672
sub-02	3	down	sensory_S1_L	-888.1246288012917
sub-02	3	down	sensory_S1_L	-1573.335319584352
sub-02	3	down	sensory_S1_L	-114.91243317904171
sub-02	3	down	sensory_S1_L	-628.3424070866713
sub-02	3	down	sensory_S1_L	-652.3326898038383
sub-02	3	down	sensory_S1_L	913.0343759107536
sub-02	3	down	sensory_S1_L	-768.0261893721545
sub-02	4	passive	sensory_S1_L	-467.4936806097666
sub-02	4	passive	sensory_S1_L	-1608.5712436179474
sub-02	4	passive	sensory_S1_L	-1912.8925719484089
sub-02	4	passive	sensory_S1_L	-2257.117681025648
sub-02	4	passive	sensory_S1_L	-1026.9415314153448
sub-02	4	passive	sensory_S1_L	-853.6449705719788
sub-02	4	passive	sensory_S1_L	-1404.3122331324903
sub-02	4	passive	sensory_S1_L	-1176.4629158709358
sub-02	4	passive	sensory_S1_L	-854.5335402068104
sub-02	4	passive	sensory_S1_L	-2104.5120408313906
sub-02	4	passive	sensory_S1_L	-974.608781337909
sub-02	6	passive	sensory_S1_L	-618.3433194060292
sub-02	6	passive	sensory_S1_L	-1837.1499936636933
sub-02	6	passive	sensory_S1_L	-1169.9446603118504
sub-02	6	passive	sensory_S1_L	-1497.2343158416752
sub-02	6	passive	sensory_S1_L	-569.7913936551377
sub-02	6	passive	sensory_S1_L	-1644.3274791791257
sub-02	6	passive	sensory_S1_L	-415.2287105213418
sub-02	6	passive	sensory_S1_L	-1001.4815796224466
sub-02	6	passive	sensory_S1_L	-1337.7660231691052
sub-02	6	passive	sensory_S1_L	-2837.549950218224
sub-02	6	passive	sensory_S1_L	-562.2682050203512
sub-02	7	up	sensory_S1_L	2020.2847110856385
sub-02	7	up	sensory_S1_L	203.2049088575277
sub-02	7	up	sensory_S1_L	-620.0822855234219
sub-02	7	up	sensory_S1_L	-1774.1309219775594
sub-02	7	up	sensory_S1_L	-1445.719365525256
sub-02	7	up	sensory_S1_L	-2337.594203032627
sub-02	7	up	sensory_S1_L	-221.6396594780253
sub-02	7	up	sensory_S1_L	-2073.232085992
sub-02	7	up	sensory_S1_L	-133.8014426348018
sub-02	7	up	sensory_S1_L	-81.2395544621686
sub-02	9	passive	sensory_S1_L	-994.0643989626442
sub-02	9	passive	sensory_S1_L	-2677.898710040964
sub-02	9	passive	sensory_S1_L	-2310.987417199894
sub-02	9	passive	sensory_S1_L	-2975.889308240499
sub-02	9	passive	sensory_S1_L	-3407.2322870991534
sub-02	9	passive	sensory_S1_L	-1739.2826971187112
sub-02	9	passive	sensory_S1_L	-2536.5268297173834
sub-02	9	passive	sensory_S1_L	-1822.1091951010417
sub-02	9	passive	sensory_S1_L	-2467.156033095675
sub-02	9	passive	sensory_S1_L	-2219.3003390142408
sub-02	9	passive	sensory_S1_L	-1690.7521673385806
sub-03	1	passive	sensory_S1_L	-62.41972299785539
sub-03	1	passive	sensory_S1_L	-545.552927531005
sub-03	1	passive	sensory_S1_L	-1226.7148945862837
sub-03	1	passive	sensory_S1_L	-334.86760723167254
sub-03	1	passive	sensory_S1_L	-583.9606937781462
sub-03	1	passive	sensory_S1_L	-2804.985651011386
sub-03	1	passive	sensory_S1_L	-509.4678205994969
sub-03	1	passive	sensory_S1_L	-2466.0187940391406
sub-03	1	passive	sensory_S1_L	-1905.8980242958128
sub-03	1	passive	sensory_S1_L	501.1173342953625
sub-03	1	passive	sensory_S1_L	2569.827760533881
sub-03	2	passive	sensory_S1_L	115.5606394057104
sub-03	2	passive	sensory_S1_L	-1467.3555478704266
sub-03	2	passive	sensory_S1_L	-924.080285383916
sub-03	2	passive	sensory_S1_L	-776.1493343493903
sub-03	2	passive	sensory_S1_L	-961.2018113170044
sub-03	2	passive	sensory_S1_L	-980.983431134915
sub-03	2	passive	sensory_S1_L	-1791.0271578542252
sub-03	2	passive	sensory_S1_L	1066.2337499207351
sub-03	2	passive	sensory_S1_L	-1248.1443437782473
sub-03	2	passive	sensory_S1_L	-1931.741358454783
sub-03	2	passive	sensory_S1_L	505.6459671959631
sub-03	3	down	sensory_S1_L	-77.7785955202271
sub-03	3	down	sensory_S1_L	-1510.7172865162347
sub-03	3	down	sensory_S1_L	-279.4752242897848
sub-03	3	down	sensory_S1_L	-1030.5109096536223
sub-03	3	down	sensory_S1_L	-1031.5780555295132
sub-03	3	down	sensory_S1_L	-1523.3976239743606
sub-03	3	down	sensory_S1_L	1733.6162637056186
sub-03	3	down	sensory_S1_L	-2140.755325648297
sub-03	3	down	sensory_S1_L	-838.7539019410151
sub-03	3	down	sensory_S1_L	862.3047680479867
sub-03	4	passive	sensory_S1_L	-118.79641108852228
sub-03	4	passive	sensory_S1_L	-1773.4115730781832
sub-03	4	passive	sensory_S1_L	-1716.074581946987
sub-03	4	passive	sensory_S1_L	-797.0559265192819
sub-03	4	passive	sensory_S1_L	-306.88760434291635
sub-03	4	passive	sensory_S1_L	971.8532083798818
sub-03	4	passive	sensory_S1_L	-1225.6437720731774
sub-03	4	passive	sensory_S1_L	-1128.1795420354429
sub-03	4	passive	sensory_S1_L	-1903.316897677648
sub-03	4	passive	sensory_S1_L	-903.890089892775
sub-03	4	passive	sensory_S1_L	915.8876687246338
sub-03	5	passive	sensory_S1_L	-519.4453420713453
sub-03	5	passive	sensory_S1_L	-2042.6249789458927
sub-03	5	passive	sensory_S1_L	-417.217801038676
sub-03	5	passive	sensory_S1_L	-1890.2425049792344
sub-03	5	passive	sensory_S1_L	-1472.440010592156
