subject	measure	contrast	direct_col	direct_value	z_score
sub-06	signature_dot	up_minus_passive	up_minus_passive_FE	55.101600646972656	5.554634218348653
sub-02	signature_dot	up_minus_passive	up_minus_passive_FE	-3.003690481185913	-0.424323928676054
sub-28	signature_dot	up_minus_passive	up_minus_passive_FE	-2.423023700714112	-0.3645740795590257
sub-30	signature_dot	up_minus_passive	up_minus_passive_FE	-1.3256752490997314	-0.2516583650428789
sub-18	signature_dot	up_minus_passive	up_minus_passive_FE	-1.223463535308838	-0.2411409139291151
sub-01	signature_dot	up_minus_passive	up_minus_passive_FE	-1.07352876663208	-0.22571282314259924
sub-04	signature_dot	up_minus_passive	up_minus_passive_FE	-1.0231726169586182	-0.22053124147426414
sub-15	signature_dot	up_minus_passive	up_minus_passive_FE	-0.8875932693481445	-0.20658030466239954
sub-07	signature_dot	up_minus_passive	up_minus_passive_FE	-0.8609511852264404	-0.20383886919550134
sub-25	signature_dot	up_minus_passive	up_minus_passive_FE	-0.823972225189209	-0.2000337827723828
sub-01	signature_dot	down_minus_passive	down_minus_passive_FE	-1.633535385131836	-2.0298181270603908
sub-33	signature_dot	down_minus_passive	down_minus_passive_FE	0.6278297305107117	1.852772886766173
sub-13	signature_dot	down_minus_passive	down_minus_passive_FE	0.6123356223106384	1.826170687568558
sub-30	signature_dot	down_minus_passive	down_minus_passive_FE	-1.372913479804993	-1.5823502411233432
sub-19	signature_dot	down_minus_passive	down_minus_passive_FE	-1.3655141592025757	-1.5696461733544353
sub-25	signature_dot	down_minus_passive	down_minus_passive_FE	-1.2476637363433838	-1.3673060074061578
sub-29	signature_dot	down_minus_passive	down_minus_passive_FE	0.3349474370479584	1.3499163808258259
sub-31	signature_dot	down_minus_passive	down_minus_passive_FE	-1.197611689567566	-1.2813704697562813
sub-06	signature_dot	down_minus_passive	down_minus_passive_FE	-1.1697226762771606	-1.23348716615493
sub-21	signature_dot	down_minus_passive	down_minus_passive_FE	0.2426739633083343	1.1914898810634338
sub-06	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	56.14339828491211	5.563494490364235
sub-02	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.6369578838348389	-0.29042714323944546
sub-19	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.3654922246932983	-0.26292404702819877
sub-01	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.2273342609405518	-0.2489268004465951
sub-28	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.1910862922668457	-0.2452543971929099
sub-25	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.0737041234970093	-0.23336201606680085
sub-30	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-1.0544631481170654	-0.23141264833186792
sub-31	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.8394594192504883	-0.20962989960595588
sub-07	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.834778904914856	-0.20915570100382663
sub-15	signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.7682369351387024	-0.20241411091605346
sub-06	signature_dot	up_minus_down	up_minus_down_FE	89.01013946533203	5.560041853969374
sub-02	signature_dot	up_minus_down	up_minus_down_FE	-2.8297457695007324	-0.3443416801490755
sub-28	signature_dot	up_minus_down	up_minus_down_FE	-2.2295937538146973	-0.3057579246236424
sub-33	signature_dot	up_minus_down	up_minus_down_FE	-1.8032845258712769	-0.27835051683479634
sub-18	signature_dot	up_minus_down	up_minus_down_FE	-1.300342321395874	-0.24601637722731876
sub-13	signature_dot	up_minus_down	up_minus_down_FE	-1.107367753982544	-0.2336100479355793
sub-21	signature_dot	up_minus_down	up_minus_down_FE	-1.084870457649231	-0.23216369741267798
sub-17	signature_dot	up_minus_down	up_minus_down_FE	-0.6664104461669922	-0.20526091552041958
sub-29	signature_dot	up_minus_down	up_minus_down_FE	-0.5142755508422852	-0.19548016755211373
sub-10	signature_dot	up_minus_down	up_minus_down_FE	-0.4326749444007873	-0.19023406695197356
sub-06	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	0.5909380483068007	5.554634218348653
sub-02	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0322131293797041	-0.42432392867605406
sub-28	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0259857586692408	-0.36457407955902504
sub-30	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0142172266357686	-0.2516583650428786
sub-18	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0131210553820756	-0.24114091392911494
sub-01	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0115130774189156	-0.22571282314259908
sub-04	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0109730320398543	-0.22053124147426434
sub-15	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0095190090327741	-0.20658030466239957
sub-07	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0092332855508997	-0.20383886919550132
sub-25	signature_weighted_mean	up_minus_passive	up_minus_passive_FE	-0.0088367040683975	-0.2000337827723821
sub-01	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0175188778727962	-2.029818127060395
sub-33	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.0067331705660236	1.8527728867661721
sub-13	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.006567003740514	1.8261706875685586
sub-30	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0147238338401088	-1.582350241123344
sub-19	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0146444797011319	-1.5696461733544333
sub-25	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0133805908474718	-1.3673060074061643
sub-29	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.0035921494550151	1.3499163808258183
sub-31	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0128438068250808	-1.2813704697562815
sub-06	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0125447106302421	-1.2334871661549398
sub-21	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.0026025610248798	1.1914898810634325
sub-06	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	0.6021108246992485	5.563494490364235
sub-02	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0175555825180359	-0.2904271432394454
