measure	contrast	omitted_participant	n	direct_mean_without_participant	direct_sd_without_participant
signature_dot	up_minus_passive	sub-01	32	1.1885637473315	9.865690796127282
signature_dot	up_minus_passive	sub-02	32	1.2488813009113073	9.845112011062009
signature_dot	up_minus_passive	sub-03	32	1.1618156773038208	9.870785175545013
signature_dot	up_minus_passive	sub-04	32	1.1869901176542044	9.866058969016082
signature_dot	up_minus_passive	sub-05	32	1.1533641549758613	9.8718810321372
signature_dot	up_minus_passive	sub-06	32	-0.566909046843648	0.7443357036878083
signature_dot	up_minus_passive	sub-07	32	1.1819206979125738	9.867186807550539
signature_dot	up_minus_passive	sub-08	32	1.1803622655570507	9.867515670930537
signature_dot	up_minus_passive	sub-09	32	1.177983645349741	9.868001427158834
signature_dot	up_minus_passive	sub-10	32	1.1751107219606638	9.868562057671902
signature_dot	up_minus_passive	sub-11	32	1.158282345160842	9.871273319649122
signature_dot	up_minus_passive	sub-12	32	1.1507838554680347	9.872166468675502
signature_dot	up_minus_passive	sub-13	32	1.1597741479054093	9.87107247904819
signature_dot	up_minus_passive	sub-14	32	1.15804034890607	9.871305175145425
signature_dot	up_minus_passive	sub-15	32	1.182753263041377	9.867007677326534
signature_dot	up_minus_passive	sub-16	32	1.1755098178982735	9.868485882845999
signature_dot	up_minus_passive	sub-17	32	1.176180649548769	9.868356602135789
signature_dot	up_minus_passive	sub-18	32	1.1932492088526487	9.864543849049527
signature_dot	up_minus_passive	sub-19	32	1.1672754641622305	9.869946105607843
signature_dot	up_minus_passive	sub-20	32	1.1633945535868406	9.870553111660325
signature_dot	up_minus_passive	sub-21	32	1.1673357039690018	9.869936273618173
signature_dot	up_minus_passive	sub-22	32	1.132579978555441	9.8735273210771
signature_dot	up_minus_passive	sub-23	32	1.1359482780098915	9.873361737366464
signature_dot	up_minus_passive	sub-24	32	1.1610408229753375	9.870895914988191
signature_dot	up_minus_passive	sub-25	32	1.1807651054114103	9.867431467479333
signature_dot	up_minus_passive	sub-26	32	1.1510574454441667	9.872137292955006
signature_dot	up_minus_passive	sub-27	32	1.1749677881598473	9.868589205369464
signature_dot	up_minus_passive	sub-28	32	1.2307354640215635	9.852630383282987
signature_dot	up_minus_passive	sub-29	32	1.1528857764787972	9.871935686529774
signature_dot	up_minus_passive	sub-30	32	1.1964433249086142	9.863718430286683
signature_dot	up_minus_passive	sub-31	32	1.1706927455961704	9.869368543459778
signature_dot	up_minus_passive	sub-32	32	1.1618128456175327	9.870785584014085
signature_dot	up_minus_passive	sub-33	32	1.170918932184577	9.869328891762493
signature_dot	down_minus_passive	sub-01	32	-0.4143489233683795	0.5510717741600384
signature_dot	down_minus_passive	sub-02	32	-0.45480635832063854	0.5914015088673289
signature_dot	down_minus_passive	sub-03	32	-0.4584681757260114	0.5902734276018539
signature_dot	down_minus_passive	sub-04	32	-0.4400945797096938	0.5881355361796636
signature_dot	down_minus_passive	sub-05	32	-0.47042311099357903	0.581129044682406
signature_dot	down_minus_passive	sub-06	32	-0.4288430705200881	0.577066739050326
signature_dot	down_minus_passive	sub-07	32	-0.4347657978069037	0.5838409344271976
signature_dot	down_minus_passive	sub-08	32	-0.4592187034431845	0.5899463486163269
signature_dot	down_minus_passive	sub-09	32	-0.4489808480720967	0.5916026807440998
signature_dot	down_minus_passive	sub-10	32	-0.46284881909377873	0.5879012543424232
signature_dot	down_minus_passive	sub-11	32	-0.45467459480278194	0.5914276656773071
signature_dot	down_minus_passive	sub-12	32	-0.47002160898409784	0.5815743570214783
signature_dot	down_minus_passive	sub-13	32	-0.4845323923509568	0.5590543444809601
signature_dot	down_minus_passive	sub-14	32	-0.43629411119036376	0.5852449276667924
signature_dot	down_minus_passive	sub-15	32	-0.4525753890629858	0.591709438398316
signature_dot	down_minus_passive	sub-16	32	-0.437864440260455	0.5865427385749191
signature_dot	down_minus_passive	sub-17	32	-0.4592345121782273	0.5899391074712876
signature_dot	down_minus_passive	sub-18	32	-0.4653167256619781	0.5860696420100046
signature_dot	down_minus_passive	sub-19	32	-0.42272458667866886	0.567778312476884
signature_dot	down_minus_passive	sub-20	32	-0.4577316034119576	0.5905626586793689
signature_dot	down_minus_passive	sub-21	32	-0.4729804655071348	0.5780616837274642
signature_dot	down_minus_passive	sub-22	32	-0.4506233453284949	0.5917437577474765
signature_dot	down_minus_passive	sub-23	32	-0.4477518561761826	0.5913954705025497
signature_dot	down_minus_passive	sub-24	32	-0.4438686955254525	0.5901676533700961
signature_dot	down_minus_passive	sub-25	32	-0.4264074123930186	0.5736536026416076
signature_dot	down_minus_passive	sub-26	32	-0.44907241757027805	0.5916146353207079
signature_dot	down_minus_passive	sub-27	32	-0.44594365055672824	0.5909322022161744
signature_dot	down_minus_passive	sub-28	32	-0.46673883008770645	0.5848505078518005
signature_dot	down_minus_passive	sub-29	32	-0.47586401156149805	0.574118182364127
signature_dot	down_minus_passive	sub-30	32	-0.4224933579098433	0.5673802306525462
signature_dot	down_minus_passive	sub-31	32	-0.4279715388547629	0.5758880871147114
signature_dot	down_minus_passive	sub-32	32	-0.46420041657984257	0.5869426288370886
signature_dot	down_minus_passive	sub-33	32	-0.4850165832322091	0.5580656976493511
signature_dot	regulation_mean_minus_passive	sub-01	32	1.3064458855660632	10.018285332782542
signature_dot	regulation_mean_minus_passive	sub-02	32	1.3192466237815097	10.014664157602743
signature_dot	regulation_mean_minus_passive	sub-03	32	1.2775261393981054	10.024411760879508
signature_dot	regulation_mean_minus_passive	sub-04	32	1.2906538249226287	10.021983557659276
signature_dot	regulation_mean_minus_passive	sub-05	32	1.256905199144967	10.027042733405603
signature_dot	regulation_mean_minus_passive	sub-06	32	-0.48638950649183244	0.5022428691063932
signature_dot	regulation_mean_minus_passive	sub-07	32	1.2941785306902602	10.02123174112943
signature_dot	regulation_mean_minus_passive	sub-08	32	1.2864785065175965	10.022819442324833
signature_dot	regulation_mean_minus_passive	sub-09	32	1.2855463271262124	10.02299796135119
signature_dot	regulation_mean_minus_passive	sub-10	32	1.279130341601558	10.024146476205049
signature_dot	regulation_mean_minus_passive	sub-11	32	1.2776263785781339	10.024395440818818
signature_dot	regulation_mean_minus_passive	sub-12	32	1.262651193072088	10.026454880217203
signature_dot	regulation_mean_minus_passive	sub-13	32	1.2698276216397062	10.025563087894584
signature_dot	regulation_mean_minus_passive	sub-14	32	1.283926282194443	10.023301178003445
signature_dot	regulation_mean_minus_passive	sub-15	32	1.2920990941347554	10.02168039758439
signature_dot	regulation_mean_minus_passive	sub-16	32	1.2900870573939756	10.022100502469314
signature_dot	regulation_mean_minus_passive	sub-17	32	1.279792105895467	10.024034491200167
signature_dot	regulation_mean_minus_passive	sub-18	32	1.287393739563413	10.022641292221257
signature_dot	regulation_mean_minus_passive	sub-19	32	1.3107633219333366	10.017126404246103
signature_dot	regulation_mean_minus_passive	sub-20	32	1.2767608762951568	10.024535228055843
signature_dot	regulation_mean_minus_passive	sub-21	32	1.263926971820183	10.026309137098883
signature_dot	regulation_mean_minus_passive	sub-22	32	1.2649766105460003	10.026185079843659
signature_dot	regulation_mean_minus_passive	sub-23	32	1.2606239608721808	10.026675089531603
signature_dot	regulation_mean_minus_passive	sub-24	32	1.2827104573370889	10.023522873740571
signature_dot	regulation_mean_minus_passive	sub-25	32	1.3016449437709525	10.019499474776206
signature_dot	regulation_mean_minus_passive	sub-26	32	1.2717726972186938	10.02529122339586
signature_dot	regulation_mean_minus_passive	sub-27	32	1.282882180181332	10.02349186644533
signature_dot	regulation_mean_minus_passive	sub-28	32	1.30531313654501	10.018578878476776
signature_dot	regulation_mean_minus_passive	sub-29	32	1.2624602793948725	10.026476214073563
signature_dot	regulation_mean_minus_passive	sub-30	32	1.3010436632903293	10.019646004560318
signature_dot	regulation_mean_minus_passive	sub-31	32	1.2943247967632487	10.021199628897394
signature_dot	regulation_mean_minus_passive	sub-32	32	1.2773752046050504	10.024436270290009
signature_dot	regulation_mean_minus_passive	sub-33	32	1.269229631870985	10.025644084321952
signature_dot	up_minus_down	sub-01	32	2.5971868145279586	15.798001215816804
signature_dot	up_minus_down	sub-02	32	2.6937029673717916	15.773191439475777
signature_dot	up_minus_down	sub-03	32	2.596547080669552	15.79809852212917
signature_dot	up_minus_down	sub-04	32	2.6166729372926056	15.794614104735608
signature_dot	up_minus_down	sub-05	32	2.606657343916595	15.796457396879013
signature_dot	up_minus_down	sub-06	32	-0.17629344621673226	0.9672333135991449
signature_dot	up_minus_down	sub-07	32	2.6108001908287406	15.795721198707886
signature_dot	up_minus_down	sub-08	32	2.613114786799997	15.795293755241463
signature_dot	up_minus_down	sub-09	32	2.603267869213596	15.797032165776015
signature_dot	up_minus_down	sub-10	32	2.6187945040874183	15.794195851014852
signature_dot	up_minus_down	sub-11	32	2.6066649607382715	15.796456077336474
signature_dot	up_minus_down	sub-12	32	2.604658097960055	15.796799417574825
signature_dot	up_minus_down	sub-13	32	2.639878654386848	15.789510866275961
signature_dot	up_minus_down	sub-14	32	2.5759172602556646	15.800763108022835
signature_dot	up_minus_down	sub-15	32	2.612756870687008	15.795360608621174
signature_dot	up_minus_down	sub-16	32	2.5857611554674804	15.799606167824313
signature_dot	up_minus_down	sub-17	32	2.626098738517612	15.792681529805485
signature_dot	up_minus_down	sub-18	32	2.6459091096185148	15.787994219645343
signature_dot	up_minus_down	sub-19	32	2.55554169556126	15.802493910588806
signature_dot	up_minus_down	sub-20	32	2.5780563983134925	15.80052947147972
signature_dot	up_minus_down	sub-21	32	2.639175613876432	15.789682563526137
signature_dot	up_minus_down	sub-22	32	2.5628141253255308	15.801978886708694
signature_dot	up_minus_down	sub-23	32	2.5726948021911085	15.80109643449021
signature_dot	up_minus_down	sub-24	32	2.607546956744045	15.796302433071732
signature_dot	up_minus_down	sub-25	32	2.600523402914405	15.797479392083217
