subject	reg_run	reg_condition	nearest_passive_run	passive_before_run	passive_after_run
sub-01	3	up	2	2	4
sub-01	7	down	6	6	8
sub-02	3	down	2	2	4
sub-02	7	up	6	6	8
sub-03	3	down	2	2	4
sub-03	7	up	6	6	8
sub-04	3	down	2	2	4
sub-04	7	up	6	6	8
sub-05	3	up	2	2	4
sub-05	7	down	6	6	8
sub-06	3	up	2	2	4
sub-06	7	down	6	6	8
sub-07	3	up	2	2	4
sub-07	7	down	6	6	8
sub-08	3	down	2	2	4
sub-08	7	up	6	6	8
sub-09	3	up	2	2	4
sub-09	7	down	6	6	8
sub-10	3	down	2	2	4
sub-10	7	up	6	6	8
sub-11	3	up	2	2	4
sub-11	7	down	6	6	8
sub-12	3	down	2	2	4
sub-12	7	up	6	6	8
sub-13	3	up	2	2	4
sub-13	7	down	6	6	8
sub-14	3	up	2	2	4
sub-14	7	down	6	6	8
sub-15	3	down	2	2	4
sub-15	7	up	6	6	8
sub-16	3	down	2	2	4
sub-16	7	up	6	6	8
sub-17	3	up	2	2	4
sub-17	7	down	6	6	8
sub-18	3	down	2	2	4
sub-18	7	up	6	6	8
sub-19	3	down	2	2	4
sub-19	7	up	6	6	8
sub-20	3	up	2	2	4
sub-20	7	down	6	6	8
sub-21	3	down	2	2	4
sub-21	7	up	6	6	8
sub-22	3	up	2	2	4
sub-22	7	down	6	6	8
sub-23	3	up	2	2	4
sub-23	7	down	6	6	8
sub-24	3	up	2	2	4
sub-24	7	down	6	6	8
sub-25	3	down	2	2	4
sub-25	7	up	6	6	8
sub-26	3	up	2	2	4
sub-26	7	down	6	6	8
sub-27	3	up	2	2	4
sub-27	7	down	6	6	8
sub-28	3	down	2	2	4
sub-28	7	up	6	6	8
sub-29	3	up	2	2	4
sub-29	7	down	6	6	8
sub-30	3	down	2	2	4
sub-30	7	up	6	6	8
sub-31	3	down	2	2	4
sub-31	7	up	6	6	8
sub-32	3	down	2	2	4
sub-32	7	up	6	6	8
sub-33	3	down	2	2	4
sub-33	7	up	6	6	8
