analysis_set	contrast	n_subjects_with_required_runs	required_conditions
main	up_minus_passive_FE	33	up,passive
main	down_minus_passive_FE	33	down,passive
main	up_minus_down_FE	33	up,down
main	regulation_mean_minus_passive_FE	33	up,down,passive
main	stim_passive_FE	33	passive
fd_bad_run_exclude	up_minus_passive_FE	20	up,passive
fd_bad_run_exclude	down_minus_passive_FE	17	down,passive
fd_bad_run_exclude	up_minus_down_FE	9	up,down
fd_bad_run_exclude	regulation_mean_minus_passive_FE	9	up,down,passive
fd_bad_run_exclude	stim_passive_FE	33	passive
