model	contrast	estimate	se	z	p	n	formula	note	q_fdr
trim_rating_boundary_success_z	down_reference_slope__expected_z_c	-0.3078886419205332	0.19628612710406818	-1.5685705681955553	0.11674803484080211	538	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.2001394882985179
trim_rating_boundary_success_z	up_slope__expected_z_c	-0.5618964513026101	0.15970248996178935	-3.5183950571907197	0.0004341654976396381	538	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.010419971943351314
trim_rating_boundary_success_z	up_minus_down_slope__expected_z_c	-0.25400780938207695	0.1006792912599121	-2.5229399830232646	0.011637826150928685	538	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.07347862643720404
trim_expected_boundary_success_z	down_reference_slope__expected_z_c	-0.33822040374090245	0.18874836197643077	-1.7919117294545657	0.07314710678183782	611	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.16958503889740933
trim_expected_boundary_success_z	up_slope__expected_z_c	-0.4490702520321244	0.1904388126770412	-2.358081557637558	0.01836965660930101	611	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.07347862643720404
trim_expected_boundary_success_z	up_minus_down_slope__expected_z_c	-0.11084984829122198	0.10132266689201978	-1.0940281349814387	0.2739426389150835	611	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.34603280705063183
trim_rating_and_expected_boundary_success_z	down_reference_slope__expected_z_c	-0.34154221529794027	0.20261460303530787	-1.6856742316762958	0.09185856273609672	516	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes both observed-rating and expected-pain boundary trials.	0.16958503889740933
trim_rating_and_expected_boundary_success_z	up_slope__expected_z_c	-0.5230885149383577	0.16746943572174947	-3.1234864599858656	0.001787220881422913	516	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes both observed-rating and expected-pain boundary trials.	0.021446650577074955
trim_rating_and_expected_boundary_success_z	up_minus_down_slope__expected_z_c	-0.18154629964041746	0.10066494052131429	-1.803470987021323	0.07131427792087026	516	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes both observed-rating and expected-pain boundary trials.	0.16958503889740933
trim_rating_boundary_success_raw	down_reference_slope__expected_raw_c	-0.07678970395018318	0.09969915130645686	-0.7702142189169269	0.4411728307515391	538	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Raw-scale companion excluding observed rating boundary trials.	0.529407396901847
trim_rating_boundary_success_raw	up_slope__expected_raw_c	-0.36495390828789465	0.1530939776707972	-2.3838554190071837	0.01713233181669005	538	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Raw-scale companion excluding observed rating boundary trials.	0.07347862643720404
trim_rating_boundary_success_raw	up_minus_down_slope__expected_raw_c	-0.28816420433771145	0.1208264957397795	-2.384942164989394	0.01708180656468185	538	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Raw-scale companion excluding observed rating boundary trials.	0.07347862643720404
trim_expected_boundary_success_raw	down_reference_slope__expected_raw_c	-0.19219258657417096	0.11333385124506984	-1.6958091908354838	0.08992202136217375	611	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Raw-scale companion excluding expected pain boundary trials.	0.16958503889740933
