subject	status	n_passive	n_reg	fold_logs
sub-01	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-02	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-03	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-04	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-05	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-06	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-07	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-08	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-09	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-10	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
