group	variable	n	mean	sd	min	p05	median	p95	max
all	expected_raw	660	80.89357815795057	46.138126707886144	-60.64020776246394	5.027900940724815	85.81365021081528	150.76524021713496	223.7916228502287
all	rating_raw_y	660	82.6621212121212	55.669816389122744	0.0	1.0	100.5	169.04999999999995	200.0
all	success_raw	660	14.781304782364758	34.445344771642695	-110.13235099592347	-36.42976533134157	10.306950801650967	74.22025837357869	177.8333584862967
all	ceiling_margin_raw	660	119.10642184204943	46.138126707886144	-23.79162285022869	49.23475978286504	114.18634978918472	194.97209905927517	260.64020776246394
all	floor_margin_raw	660	80.89357815795057	46.138126707886144	-60.64020776246394	5.027900940724815	85.81365021081528	150.76524021713496	223.7916228502287
all	available_room_raw	649	102.70021747473915	47.67243004364026	0.4957716626282926	24.323588951586444	100.3227775174272	187.01291567390143	252.8333584862967
all	success_fraction_available	649	0.13694584274263705	0.9154890364293439	-19.170576000624614	-0.39306953297067687	0.1205193838890612	0.9339975764340185	1.0
up	expected_raw	330	80.26227337558582	47.00489259447968	-52.8333584862967	3.4562057661602683	87.20456279785591	150.68415852553204	217.56860779655625
up	rating_raw_y	330	96.81212121212121	53.14247499865078	0.0	3.0	110.0	170.55	200.0
up	success_raw	330	16.549847836535395	36.11212338725133	-110.13235099592347	-36.58526549371091	12.04204223693472	76.11634704186051	177.8333584862967
up	ceiling_margin_raw	330	119.73772662441418	47.00489259447968	-17.56860779655625	49.31584147446795	112.79543720214409	196.54379423383975	252.8333584862967
up	floor_margin_raw	330	80.26227337558582	47.00489259447968	-52.8333584862967	3.4562057661602683	87.20456279785591	150.68415852553204	217.56860779655625
up	available_room_raw	329	120.15507110593691	46.46011870736615	12.786442256779111	49.918909692506396	112.82745429290766	196.58913325980913	252.8333584862967
up	success_fraction_available	329	0.14559604484578612	0.2973797881294094	-1.4327529516361666	-0.27552998594988015	0.12830545992861678	0.6352877359824446	0.9999999999999999
down	expected_raw	330	81.52488294031534	45.31737331544298	-60.64020776246394	6.844329935683949	84.21088520706817	150.73085789530603	223.7916228502287
down	rating_raw_y	330	68.51212121212122	54.60670242647946	0.0	0.0	62.5	160.0	200.0
down	success_raw	330	13.01276172819412	32.65287004557271	-85.59549386851447	-36.27783250607935	9.146436869423816	71.39291513876083	123.3445361462448
down	ceiling_margin_raw	330	118.47511705968466	45.31737331544298	-23.79162285022869	49.26914210469397	115.78911479293183	193.15567006431607	260.64020776246394
down	floor_margin_raw	330	81.52488294031534	45.31737331544298	-60.64020776246394	6.844329935683949	84.21088520706817	150.73085789530603	223.7916228502287
down	available_room_raw	320	84.75444608516398	41.950440591104595	0.4957716626282926	17.019313501403076	86.39463023883454	151.15847028564642	223.7916228502287
down	success_fraction_available	320	0.1280523537053369	1.2694201177321542	-19.170576000624614	-0.6595898215455652	0.1041276401219921	0.9878970212523517	1.0
all	n_expected_within_10_raw_units_of_ceiling	3							
all	n_expected_within_10_raw_units_of_floor	47							
all	n_rating_at_or_above_190	12							
all	n_rating_at_or_below_10	110							
up	n_expected_within_10_raw_units_of_ceiling	1							
up	n_expected_within_10_raw_units_of_floor	25							
up	n_rating_at_or_above_190	6							
up	n_rating_at_or_below_10	32							
down	n_expected_within_10_raw_units_of_ceiling	2							
down	n_expected_within_10_raw_units_of_floor	22							
down	n_rating_at_or_above_190	6							
down	n_rating_at_or_below_10	78							
