model	term	beta	se	t_or_z	p	n	r2	note	formula	q_fdr_within_all_terms
success_z_primary_scale	is_up_bin	0.07290779015990176	0.08068259664879446	0.9036371310316663	0.3661878456288068	660	0.22361098027830928	Primary success model in z units. Tests original state-dependence claim.	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.5492817684432102
success_z_primary_scale	expected_z_c	0.005988362955674266	0.14238848898012235	0.042056510316014734	0.9664536492139894	660	0.22361098027830928	Primary success model in z units. Tests original state-dependence claim.	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.9664536492139894
success_z_primary_scale	is_up_bin:expected_z_c	-0.2655476261953364	0.08976070647679193	-2.958395010672014	0.003092455647357452	660	0.22361098027830928	Primary success model in z units. Tests original state-dependence claim.	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.010823594765751083
success_raw_raw_scale	is_up_bin	3.6644979950237353	4.514544808188101	0.811709297552519	0.41695845808291077	660	0.25147526204469683	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.5705385864401508
success_raw_raw_scale	expected_raw_c	0.016894877830182377	0.1102074804569796	0.15330064493015455	0.878161192106274	660	0.25147526204469683	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.9608029996195253
success_raw_raw_scale	is_up_bin:expected_raw_c	-0.191456339144175	0.10874366048716873	-1.760620695371626	0.07830262345428203	660	0.25147526204469683	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	success_raw ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.18270612139332476
observed_rating_z_model	is_up_bin	0.6192590543779459	0.09935639880930484	6.232704302885337	4.5845104845944867e-10	660	0.6242145266567343	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	rating_z_y ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	9.627472017648422e-09
observed_rating_z_model	expected_z_c	0.622587921399052	0.2397959916776445	2.5963233040024747	0.00942273564408779	660	0.6242145266567343	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	rating_z_y ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.02826820693226337
observed_rating_z_model	is_up_bin:expected_z_c	-0.007939297593665792	0.07442831862052297	-0.10667038757310578	0.9150504758281193	660	0.6242145266567343	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	rating_z_y ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.9608029996195253
observed_rating_raw_model	is_up_bin	29.443515624446412	5.511217648024284	5.342470122732608	9.168848728670914e-08	660	0.6834786697929595	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	rating_raw_y ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	9.62729116510446e-07
