model	contrast	estimate	se	z	p	n	note	q_fdr_within_all_contrasts	source_table	term	beta	t_or_z	r2	formula	q_fdr_terms	q_fdr_summary
success_z_primary_scale	down_reference_slope	0.005988362955674266	0.14238848898012235	0.042056510316014734	0.9664536492139892	660	Primary success model in z units. Tests original state-dependence claim.	0.9664536492139892	sensitivity_model_contrasts.tsv							0.9664536492139892
success_z_primary_scale	up_slope	-0.2595592632396621	0.1589332762505714	-1.633133534795102	0.10244091499451824	660	Primary success model in z units. Tests original state-dependence claim.	0.19556901953498937	sensitivity_model_contrasts.tsv							0.1920767156147217
success_z_primary_scale	up_minus_down_slope	-0.2655476261953364	0.08976070647679193	-2.958395010672014	0.003092455647357495	660	Primary success model in z units. Tests original state-dependence claim.	0.01298831371890148	sensitivity_model_contrasts.tsv							0.012650954921007934
success_raw_raw_scale	down_reference_slope	0.016894877830182377	0.1102074804569796	0.15330064493015455	0.878161192106274	660	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	0.9608029996195253	sensitivity_model_contrasts.tsv							0.919005898715868
success_raw_raw_scale	up_slope	-0.17456146131399264	0.15095432369012626	-1.156385965282626	0.24752331965317564	660	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	0.4039941943463692	sensitivity_model_contrasts.tsv							0.3880732408745911
success_raw_raw_scale	up_minus_down_slope	-0.191456339144175	0.10874366048716873	-1.760620695371626	0.07830262345428207	660	Same model in raw rating units. Checks whether effect is not an artefact of z scaling.	0.18270612139332484	sensitivity_model_contrasts.tsv							0.17618090277213466
observed_rating_z_model	down_reference_slope	0.622587921399052	0.2397959916776445	2.5963233040024747	0.009422735644087687	660	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	0.032979574754306906	sensitivity_model_contrasts.tsv							0.027025734380392404
observed_rating_z_model	up_slope	0.6146486238053862	0.24603673133683562	2.4981986245131176	0.012482623128959647	660	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	0.03744786938687894	sensitivity_model_contrasts.tsv							0.0317447597375175
observed_rating_z_model	up_minus_down_slope	-0.007939297593665792	0.07442831862052297	-0.10667038757310578	0.9150504758281193	660	Observed regulation rating as outcome. Reduces concern that result is only success-score algebra.	0.9608029996195253	sensitivity_model_contrasts.tsv							0.9358470775514857
observed_rating_raw_model	down_reference_slope	0.8294186471658003	0.17550943453952497	4.725778128918842	2.2923583660183766e-06	660	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	2.6382381982048564e-05	sensitivity_model_contrasts.tsv							3.7689117117212234e-05
observed_rating_raw_model	up_slope	0.7346151824599647	0.17956285232384772	4.091131171914451	4.2927423178573676e-05	660	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	0.00030049196225001573	sensitivity_model_contrasts.tsv							0.0002759620061479736
observed_rating_raw_model	up_minus_down_slope	-0.09480346470583559	0.08932608776134675	-1.06131889442111	0.2885450018679747	660	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	0.4328175028019621	sensitivity_model_contrasts.tsv							0.41944788223191365
bounded_logit_transformed_observed_rating	down_reference_slope	7.168539466044526	1.5229192978575774	4.707103965475473	2.512607807814149e-06	660	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	2.6382381982048564e-05	sensitivity_model_contrasts.tsv							3.7689117117212234e-05
bounded_logit_transformed_observed_rating	up_slope	5.85056554786544	1.5928236711092243	3.67307797716942	0.0002396463143596872	660	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	0.0012581431503883578	sensitivity_model_contrasts.tsv							0.001198231571798436
bounded_logit_transformed_observed_rating	up_minus_down_slope	-1.3179739181790855	0.7996656613299586	-1.648156200664045	0.09932062207336045	660	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	0.19556901953498937	sensitivity_model_contrasts.tsv							0.1920767156147217
fractional_logit_observed_rating_raw_0_200	down_reference_slope	1405797370909935.0				660	Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.		sensitivity_model_contrasts.tsv							
fractional_logit_observed_rating_raw_0_200	up_slope	2068934257725233.0				660	Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.		sensitivity_model_contrasts.tsv							
fractional_logit_observed_rating_raw_0_200	up_minus_down_slope	663136886815298.0				660	Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.		sensitivity_model_contrasts.tsv							
available_room_normalized_success	down_reference_slope	0.003939692140117607	0.005043251567088924	0.7811809678159053	0.4346960658591623	649	Success divided by available room in the instructed direction. Controls ceiling/floor room.	0.5705385864401505	sensitivity_model_contrasts.tsv							0.558894941818923
available_room_normalized_success	up_slope	0.0025241941895387562	0.00268605908382004	0.939738892842564	0.3473515100946789	649	Success divided by available room in the instructed direction. Controls ceiling/floor room.	0.48629211413255047	sensitivity_model_contrasts.tsv							0.4884630610706422
available_room_normalized_success	up_minus_down_slope	-0.0014154979505788504	0.0033332511529696406	-0.42465985478404866	0.6710846529906516	649	Success divided by available room in the instructed direction. Controls ceiling/floor room.	0.7829320951557602	sensitivity_model_contrasts.tsv							0.7743284457584441
available_room_normalized_success_clipped	down_reference_slope	-0.0017910663271369087	0.001557277255206724	-1.1501268134165037	0.25009164411918094	649	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	0.4039941943463692	sensitivity_model_contrasts.tsv							0.3880732408745911
available_room_normalized_success_clipped	up_slope	0.0008660009273797858	0.0016841511037993813	0.5142061929158972	0.6071078384410171	649	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	0.7499567416036094	sensitivity_model_contrasts.tsv							0.7588847980512714
