comparison	n	r	p	spearman_rho	spearman_p	modality	target	family	quantity	behavior_variable	q_fdr_behavior_corr
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~up_first	33	0.22673303702529463	0.20449022813920065	0.1337245108784795	0.45814146838826175	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	up_first	0.8302220564853061
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~prediction_error_raw_down	33	-0.0913099803039868	0.6133000096678126	-0.10594919786096257	0.5573248802897377	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	prediction_error_raw_down	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~prediction_error_raw_up	33	0.07876365228339291	0.6630583971836995	0.17212566844919788	0.33814585655326235	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	prediction_error_raw_up	0.8360301529707516
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~prediction_error_z_down	33	-0.10406331034254694	0.5644012788853843	-0.1106283422459893	0.5399470067645689	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	prediction_error_z_down	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~prediction_error_z_up	33	0.1136347175630529	0.5289194678350861	0.18181818181818182	0.31121997029175347	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	prediction_error_z_up	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~rating_raw_down	33	0.3023750224169468	0.08720428540582321	0.18482620320855617	0.3031452156624844	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	rating_raw_down	0.5541195349789071
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~rating_raw_up	33	0.45657274113055296	0.007566477463877746	0.37433155080213903	0.03185901986942967	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	rating_raw_up	0.21805851494605305
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~rating_z_subject_down	33	-0.10512295235473584	0.5604201346786013	-0.1002673796791444	0.5787679823624801	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	rating_z_subject_down	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~rating_z_subject_up	33	0.1909956380883684	0.28700223647163925	0.2035427807486631	0.255905333012112	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	rating_z_subject_up	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~reg_success_raw_down	33	0.0913099803039868	0.6133000096678126	0.10594919786096257	0.5573248802897377	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	reg_success_raw_down	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~reg_success_raw_up	33	0.07876365228339291	0.6630583971836995	0.17212566844919788	0.33814585655326235	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	reg_success_raw_up	0.8360301529707516
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~reg_success_z_down	33	0.10406331034254694	0.5644012788853843	0.1106283422459893	0.5399470067645689	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	reg_success_z_down	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~reg_success_z_up	33	0.1136347175630529	0.5289194678350861	0.18181818181818182	0.31121997029175347	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	reg_success_z_up	0.8324355534692139
EC_lite_directed_lagged:NAc_to_vmPFC_value:down_minus_passive~temperature_raw_down	33	0.259192180779648	0.14523782216343553	0.259913730031377	0.14408121278083458	EC_lite_directed_lagged	NAc_to_vmPFC_value	value_regulation	down_minus_passive	temperature_raw_down	0.7019828071232718
