pathway	source_roi	target_roi	source_safe	target_safe	directed	source
NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	True	rule_based
NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	True	rule_based
NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	True	rule_based
NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	True	rule_based
NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	True	rule_based
NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	True	rule_based
pgACC_rACC_PAG	reg_pgACC_rACC	reg_PAG_sphere	reg_pgACC_rACC	reg_PAG_sphere	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_L	reg_vmPFC	reg_dlPFC_IFJ_L	reg_vmPFC	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_L	reg_mOFC	reg_dlPFC_IFJ_L	reg_mOFC	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_L	reg_vmPFC_mOFC	reg_dlPFC_IFJ_L	reg_vmPFC_mOFC	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_R	reg_vmPFC	reg_dlPFC_IFJ_R	reg_vmPFC	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_R	reg_mOFC	reg_dlPFC_IFJ_R	reg_mOFC	True	rule_based
dlPFC_IFJ_vmPFC	reg_dlPFC_IFJ_R	reg_vmPFC_mOFC	reg_dlPFC_IFJ_R	reg_vmPFC_mOFC	True	rule_based
aINS_dACC_MCC	sensory_insula_all_L	sensory_dACC_MCC	sensory_insula_all_L	sensory_dACC_MCC	True	rule_based
aINS_dACC_MCC	sensory_insula_all_R	sensory_dACC_MCC	sensory_insula_all_R	sensory_dACC_MCC	True	rule_based
aINS_dACC_MCC	sensory_posterior_insula_L	sensory_dACC_MCC	sensory_posterior_insula_L	sensory_dACC_MCC	True	rule_based
aINS_dACC_MCC	sensory_posterior_insula_R	sensory_dACC_MCC	sensory_posterior_insula_R	sensory_dACC_MCC	True	rule_based
aINS_dACC_MCC	reg_anterior_insula_L	sensory_dACC_MCC	reg_anterior_insula_L	sensory_dACC_MCC	True	rule_based
aINS_dACC_MCC	reg_anterior_insula_R	sensory_dACC_MCC	reg_anterior_insula_R	sensory_dACC_MCC	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_S1_R	sensory_S1_L	sensory_S1_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_insula_all_L	sensory_S1_L	sensory_insula_all_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_insula_all_R	sensory_S1_L	sensory_insula_all_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_posterior_insula_L	sensory_S1_L	sensory_posterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_posterior_insula_R	sensory_S1_L	sensory_posterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_S2_operculum_L	sensory_S1_L	sensory_S2_operculum_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_S2_operculum_R	sensory_S1_L	sensory_S2_operculum_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_thalamus_L	sensory_S1_L	sensory_thalamus_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	sensory_thalamus_R	sensory_S1_L	sensory_thalamus_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	reg_anterior_insula_L	sensory_S1_L	reg_anterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	reg_anterior_insula_R	sensory_S1_L	reg_anterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_L	expl_hypothalamus	sensory_S1_L	expl_hypothalamus	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_S1_L	sensory_S1_R	sensory_S1_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_insula_all_L	sensory_S1_R	sensory_insula_all_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_insula_all_R	sensory_S1_R	sensory_insula_all_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_posterior_insula_L	sensory_S1_R	sensory_posterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_posterior_insula_R	sensory_S1_R	sensory_posterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_S2_operculum_L	sensory_S1_R	sensory_S2_operculum_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_S2_operculum_R	sensory_S1_R	sensory_S2_operculum_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_thalamus_L	sensory_S1_R	sensory_thalamus_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	sensory_thalamus_R	sensory_S1_R	sensory_thalamus_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	reg_anterior_insula_L	sensory_S1_R	reg_anterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	reg_anterior_insula_R	sensory_S1_R	reg_anterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_S1_R	expl_hypothalamus	sensory_S1_R	expl_hypothalamus	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_S1_L	sensory_insula_all_L	sensory_S1_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_S1_R	sensory_insula_all_L	sensory_S1_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_insula_all_R	sensory_insula_all_L	sensory_insula_all_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_posterior_insula_L	sensory_insula_all_L	sensory_posterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_posterior_insula_R	sensory_insula_all_L	sensory_posterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_S2_operculum_L	sensory_insula_all_L	sensory_S2_operculum_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_S2_operculum_R	sensory_insula_all_L	sensory_S2_operculum_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_thalamus_L	sensory_insula_all_L	sensory_thalamus_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	sensory_thalamus_R	sensory_insula_all_L	sensory_thalamus_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	reg_anterior_insula_L	sensory_insula_all_L	reg_anterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	reg_anterior_insula_R	sensory_insula_all_L	reg_anterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_L	expl_hypothalamus	sensory_insula_all_L	expl_hypothalamus	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_S1_L	sensory_insula_all_R	sensory_S1_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_S1_R	sensory_insula_all_R	sensory_S1_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_insula_all_L	sensory_insula_all_R	sensory_insula_all_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_posterior_insula_L	sensory_insula_all_R	sensory_posterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_posterior_insula_R	sensory_insula_all_R	sensory_posterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_S2_operculum_L	sensory_insula_all_R	sensory_S2_operculum_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_S2_operculum_R	sensory_insula_all_R	sensory_S2_operculum_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_thalamus_L	sensory_insula_all_R	sensory_thalamus_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	sensory_thalamus_R	sensory_insula_all_R	sensory_thalamus_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	reg_anterior_insula_L	sensory_insula_all_R	reg_anterior_insula_L	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	reg_anterior_insula_R	sensory_insula_all_R	reg_anterior_insula_R	True	rule_based
thalamus_S1_S2_insula	sensory_insula_all_R	expl_hypothalamus	sensory_insula_all_R	expl_hypothalamus	True	rule_based
thalamus_S1_S2_insula	sensory_posterior_insula_L	sensory_S1_L	sensory_posterior_insula_L	sensory_S1_L	True	rule_based
thalamus_S1_S2_insula	sensory_posterior_insula_L	sensory_S1_R	sensory_posterior_insula_L	sensory_S1_R	True	rule_based
thalamus_S1_S2_insula	sensory_posterior_insula_L	sensory_insula_all_L	sensory_posterior_insula_L	sensory_insula_all_L	True	rule_based
thalamus_S1_S2_insula	sensory_posterior_insula_L	sensory_insula_all_R	sensory_posterior_insula_L	sensory_insula_all_R	True	rule_based
