subject	modality	target	family	quantity	score
sub-01	ROI_activity	control_SMA_preSMA	control	beta_passive	-83.22366975080769
sub-01	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-42.00231300677388
sub-01	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	297.43436072793435
sub-01	ROI_activity	descending_PAG	descending	beta_passive	-87.91951552864326
sub-01	ROI_activity	descending_pgACC_rACC	descending	beta_passive	6.286332338168287
sub-01	ROI_activity	salience_aINS	salience	beta_passive	664.9198764201818
sub-01	ROI_activity	salience_dACC_MCC	salience	beta_passive	-169.22307421257867
sub-01	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-4.4133349304808736
sub-01	ROI_activity	value_NAc	value	beta_passive	136.2107260561922
sub-01	ROI_activity	value_vmPFC_mOFC	value	beta_passive	13.312906988081785
sub-02	ROI_activity	control_SMA_preSMA	control	beta_passive	-138.4654901443148
sub-02	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-168.26858504289393
sub-02	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	18.179240645439428
sub-02	ROI_activity	descending_PAG	descending	beta_passive	39.77234291519639
sub-02	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-153.86003169798923
sub-02	ROI_activity	salience_aINS	salience	beta_passive	1056.3741323754698
sub-02	ROI_activity	salience_dACC_MCC	salience	beta_passive	-267.53580051946915
sub-02	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-269.8840602839821
sub-02	ROI_activity	value_NAc	value	beta_passive	469.10208449155596
sub-02	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-140.24364820544272
sub-03	ROI_activity	control_SMA_preSMA	control	beta_passive	-337.02930162874026
sub-03	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-322.5142282744225
sub-03	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-595.3616647836764
sub-03	ROI_activity	descending_PAG	descending	beta_passive	194.804072224662
sub-03	ROI_activity	descending_pgACC_rACC	descending	beta_passive	306.47455857314947
sub-03	ROI_activity	salience_aINS	salience	beta_passive	551.3696644196143
sub-03	ROI_activity	salience_dACC_MCC	salience	beta_passive	-26.749008290152982
sub-03	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-99.24403119633745
sub-03	ROI_activity	value_NAc	value	beta_passive	474.12785762516376
sub-03	ROI_activity	value_vmPFC_mOFC	value	beta_passive	90.96525509562103
sub-04	ROI_activity	control_SMA_preSMA	control	beta_passive	-259.8424262959645
sub-04	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-406.68695834935954
sub-04	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-1003.0802594303864
sub-04	ROI_activity	descending_PAG	descending	beta_passive	-1037.6315960249435
sub-04	ROI_activity	descending_pgACC_rACC	descending	beta_passive	259.2626782789943
sub-04	ROI_activity	salience_aINS	salience	beta_passive	452.28568910667695
sub-04	ROI_activity	salience_dACC_MCC	salience	beta_passive	-59.823535731080725
sub-04	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	161.66449212649937
sub-04	ROI_activity	value_NAc	value	beta_passive	4.965042129760007
sub-04	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-107.21340714357534
sub-05	ROI_activity	control_SMA_preSMA	control	beta_passive	-81.87517520053525
sub-05	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-364.695195038896
sub-05	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	80.15900882741786
sub-05	ROI_activity	descending_PAG	descending	beta_passive	-900.2550380981453
sub-05	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-39.93498726444376
sub-05	ROI_activity	salience_aINS	salience	beta_passive	594.6022080940843
sub-05	ROI_activity	salience_dACC_MCC	salience	beta_passive	-93.48743303925924
sub-05	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	2.8788621605126474
sub-05	ROI_activity	value_NAc	value	beta_passive	126.79834226887324
sub-05	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-97.06448919669089
sub-06	ROI_activity	control_SMA_preSMA	control	beta_passive	-445.46471898602914
sub-06	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-231.99059121840145
sub-06	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-578.9308528433156
sub-06	ROI_activity	descending_PAG	descending	beta_passive	532.24634183112
sub-06	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-76.09785306367847
sub-06	ROI_activity	salience_aINS	salience	beta_passive	594.1405889140003
sub-06	ROI_activity	salience_dACC_MCC	salience	beta_passive	-121.07472275483612
sub-06	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-135.81805009742433
sub-06	ROI_activity	value_NAc	value	beta_passive	-73.62121916110911
sub-06	ROI_activity	value_vmPFC_mOFC	value	beta_passive	203.1927459735572
sub-07	ROI_activity	control_SMA_preSMA	control	beta_passive	-408.9884251218057
sub-07	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	287.4791996426157
sub-07	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	82.85480659298429
sub-07	ROI_activity	descending_PAG	descending	beta_passive	1750.9222858281355
sub-07	ROI_activity	descending_pgACC_rACC	descending	beta_passive	244.9360096535096
sub-07	ROI_activity	salience_aINS	salience	beta_passive	1333.0969356236778
sub-07	ROI_activity	salience_dACC_MCC	salience	beta_passive	-141.0700359732419
sub-07	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	25.197017994712944
sub-07	ROI_activity	value_NAc	value	beta_passive	208.1706758720747
sub-07	ROI_activity	value_vmPFC_mOFC	value	beta_passive	236.72802213315276
sub-08	ROI_activity	control_SMA_preSMA	control	beta_passive	-188.57569583630533
sub-08	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-50.995337114926805
sub-08	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	28.655415492592144
sub-08	ROI_activity	descending_PAG	descending	beta_passive	807.9808912479835
sub-08	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-100.50643225737592
sub-08	ROI_activity	salience_aINS	salience	beta_passive	585.4926551081469
sub-08	ROI_activity	salience_dACC_MCC	salience	beta_passive	-68.82084259425561
sub-08	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-277.3360792120812
sub-08	ROI_activity	value_NAc	value	beta_passive	56.66293156195044
sub-08	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-12.626846922719196
sub-09	ROI_activity	control_SMA_preSMA	control	beta_passive	-275.5823058367588
sub-09	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-396.6530711988341
sub-09	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-273.46130037286486
sub-09	ROI_activity	descending_PAG	descending	beta_passive	-19.150358738204627
sub-09	ROI_activity	descending_pgACC_rACC	descending	beta_passive	180.07135140016567
sub-09	ROI_activity	salience_aINS	salience	beta_passive	667.7794233490798
sub-09	ROI_activity	salience_dACC_MCC	salience	beta_passive	141.4814052767585
sub-09	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	52.176306952984085
sub-09	ROI_activity	value_NAc	value	beta_passive	637.3949048217436
sub-09	ROI_activity	value_vmPFC_mOFC	value	beta_passive	297.05508354568207
