comparison	n	r	p	spearman_rho	spearman_p	target	family	roi	roi_safe	quantity	behavior_variable	q_fdr_roi_behavior_corr
reg_SMA_preSMA:beta_passive~up_first	33	-0.2802246809818668	0.11421410181553887	-0.2865525233110275	0.10593061466661782	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	up_first	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_raw_down	33	0.15409532869210413	0.3918823096102454	0.15441176470588236	0.3908988526259167	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_raw_up	33	-0.07814895462650259	0.6655352407569595	0.06149732620320855	0.73387493109816	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_z_down	33	0.20735276165572977	0.2469213121172409	0.1711229946524064	0.34101007801092376	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_z_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_z_up	33	-0.051708967613943266	0.7750443401857835	0.09157754010695188	0.6122561044810437	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_z_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_raw_down	33	0.1495821417593981	0.4060635801808854	0.14572192513368984	0.41842081934456576	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_raw_up	33	-0.017871887332861144	0.9213643557228978	0.04077540106951872	0.821747003322018	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_z_subject_down	33	0.23396752410067	0.19002886816647105	0.19084224598930483	0.2873967833049059	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_z_subject_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_z_subject_up	33	-0.09515787494423102	0.5983597688158682	0.03442513368983957	0.8491615782324099	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_z_subject_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_raw_down	33	-0.15409532869210413	0.3918823096102454	-0.15441176470588236	0.3908988526259167	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_raw_up	33	-0.07814895462650259	0.6655352407569595	0.06149732620320855	0.73387493109816	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_z_down	33	-0.20735276165572977	0.2469213121172409	-0.1711229946524064	0.34101007801092376	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_z_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_z_up	33	-0.051708967613943266	0.7750443401857835	0.09157754010695188	0.6122561044810437	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_z_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_raw_down	33	-0.08042182918836081	0.6563944941500538	-0.1299568650156885	0.4710169605991187	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_raw_up	33	0.07497477213440476	0.678379974986465	0.11139159858487586	0.5371370176961971	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_z_subject_down	33	-0.07154586925049979	0.6923558846263561	0.023164633029473518	0.8981832618315246	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_z_subject_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_z_subject_up	33	0.10842053445529316	0.5481143796853785	0.17551053700111988	0.3285856144475112	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_z_subject_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_mean_rating_z	33	-0.11949160688051405	0.5077540280932569	-0.2740641711229947	0.1227350928334315	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_mean_rating_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_mean_rating_raw	33	0.06107179083080337	0.7356505874789034	0.07486631016042782	0.6788204790669589	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_mean_rating_raw	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_sensory_slope_z	33	-0.00018658096258094333	0.9991777831050676	-0.0053475935828877	0.9764377093265237	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_sensory_slope_z	0.9991777831050676
reg_SMA_preSMA:beta_passive~passive_withinrun_slope_z	33	-0.1311353717861227	0.4669692829421122	-0.18783422459893048	0.2952041325210402	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_withinrun_slope_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_acrossrun_slope_z	33	0.10056172158467636	0.5776481499614887	0.03308823529411765	0.854956355062533	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_acrossrun_slope_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~success_asymmetry_z_up_minus_down	33	0.1152431509057109	0.5230647524492723	0.2914438502673797	0.09984436792830936	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	success_asymmetry_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~success_asymmetry_raw_up_minus_down	33	0.0462562881998218	0.7982496461864985	0.2025401069518717	0.25830508094052596	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	success_asymmetry_raw_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~mean_reg_success_z	33	-0.1618033075094392	0.36833438575927674	-0.06584224598930481	0.7158234836979873	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	mean_reg_success_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~mean_reg_success_raw	33	-0.14226126579271026	0.429675618491637	-0.08355614973262032	0.6438693159436282	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	mean_reg_success_raw	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_prediction_error_z_up_minus_down	33	-0.16180330750943914	0.36833438575927674	-0.06584224598930481	0.7158234836979873	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_prediction_error_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_rating_z_up_minus_down	33	-0.19181315807520288	0.2849053213631473	-0.11931818181818182	0.5083746131110635	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_rating_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_rating_raw_up_minus_down	33	-0.17045177189797106	0.3429357079248907	-0.12934491978609627	0.47312597132579703	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_rating_raw_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_up~up_first	33	0.0362736305329792	0.8411620889104717	0.1782993478379727	0.32083541859172593	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	up_first	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_raw_down	33	0.07256332878022824	0.6881981566676859	0.003342245989304813	0.9852723280032905	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_raw_down	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_raw_up	33	-0.07508603368271714	0.6779282093391867	0.058489304812834236	0.746455195029992	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_raw_up	0.9992532770788368
