roi	roi_safe	mask_path	family	priority	source_requested	source_used	source_file	hemi	status	targets	used_labels	used_values	n_vox_source	n_vox_
sensory_S1_L	sensory_S1_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_S1_L.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	L	OK	3a;3b;1;2	1;2;3a;3b	27;28;29;30	2315.0	757
sensory_S1_R	sensory_S1_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_S1_R.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	R	OK	3a;3b;1;2	1;2;3a;3b	207;208;209;210	2145.0	718
sensory_insula_all_L	sensory_insula_all_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_insula_all_L.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	L	OK	poI1;poI2;Ig;MI;PI;Pir;AVI;AAIC	AAIC;AVI;Ig;MI;PI;Pir;PoI1;PoI2	68;69;74;75;76;77;78;79	1787.0	600
sensory_insula_all_R	sensory_insula_all_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_insula_all_R.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	R	OK	poI1;poI2;Ig;MI;PI;Pir;AVI;AAIC	AAIC;AVI;Ig;MI;PI;Pir;PoI1;PoI2	248;249;254;255;256;257;258;259	1744.0	618
sensory_posterior_insula_L	sensory_posterior_insula_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_posterior_insula_L.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	L	OK	poI1;poI2;PI	PI;PoI1;PoI2	76;78;79	705.0	245
sensory_posterior_insula_R	sensory_posterior_insula_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_posterior_insula_R.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	R	OK	poI1;poI2;PI	PI;PoI1;PoI2	256;258;259	699.0	249
sensory_S2_operculum_L	sensory_S2_operculum_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_S2_operculum_L.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	L	OK	OP1;OP2-3;OP4	OP1;OP2-3;OP4	50;51;52	572.0	189
sensory_S2_operculum_R	sensory_S2_operculum_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_S2_operculum_R.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	R	OK	OP1;OP2-3;OP4	OP1;OP2-3;OP4	230;231;232	530.0	175
sensory_dACC_MCC	sensory_dACC_MCC	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_dACC_MCC.nii.gz	targeted_sensory	P1	HCPex	HCPex	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii		OK	24dd;24dv;p24;p24pr;d32	24dd;24dv;d32;p24;p24pr	33;34;143;144;145;213;214;323;324;325	2556.0	826
sensory_thalamus_L	sensory_thalamus_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/sensory_thalamus_L.nii.gz	targeted_sensory	P1	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	L	OK	re:thal|tha|thalam	THA-VAip-lh;THA-VAia-lh;THA-VPm-lh;THA-VPl-lh;THA-VAs-lh;THA-DAm-lh;THA-DAl-lh;THA-DP-lh	30;31;35;36;37;38;39;50	1411.0	501
