model_id	family	predictor_modality	predictor_target	predictor_quantity	outcome	covariates	priority
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_dlPFC_IFJ_L_up_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_dlPFC_IFJ_L_up_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_SMA_preSMA_regulation_mean_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	regulation_mean_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_SMA_preSMA_regulation_mean_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	regulation_mean_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_SMA_preSMA_up_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_roi_control_SMA_preSMA_up_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_fc_sensory_thalamus_insula_down_to_reg_success_z_down	secondary_sensory_FC_behavior	FC_beta_series	sensory_thalamus_S1_S2_insula	down_minus_passive	reg_success_z_down	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
secondary_fc_sensory_thalamus_insula_down_to_mean_reg_success_z	secondary_sensory_FC_behavior	FC_beta_series	sensory_thalamus_S1_S2_insula	down_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary
