subject	pathway	source_roi	target_roi	source_safe	target_safe	quantity	ec_beta	target_pathway	target_family
sub-01	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0219259181298406	NAc_to_vmPFC_value	value_regulation
sub-01	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.1010001822143017	NAc_to_vmPFC_value	value_regulation
sub-01	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.0792649234072563	NAc_to_vmPFC_value	value_regulation
sub-01	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0795334821348794	NAc_to_vmPFC_value	value_regulation
sub-01	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.1799189247873013	NAc_to_vmPFC_value	value_regulation
sub-01	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.1134431104864187	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.1197314161026068	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.1264798570930448	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0308217478401081	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0629928716174552	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.1680926618198012	NAc_to_vmPFC_value	value_regulation
sub-02	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0895462863216965	NAc_to_vmPFC_value	value_regulation
sub-03	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0931827853972266	NAc_to_vmPFC_value	value_regulation
sub-03	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0549979979221664	NAc_to_vmPFC_value	value_regulation
sub-03	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0728814709055629	NAc_to_vmPFC_value	value_regulation
sub-03	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0591639330723525	NAc_to_vmPFC_value	value_regulation
sub-03	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.1948078987983609	NAc_to_vmPFC_value	value_regulation
