family	source_table	best_q	best_p	best_quantity	best_target	best_description
control	pathway_score_tests	0.013275350730697829	0.0013316300611390648	regulation_mean_minus_passive	control_SMA_preSMA	control_SMA_preSMA
control_value	pathway_score_tests	0.0024432710115798793	0.0019546168092639035	z_passive	dlPFC_IFJ_L_vmPFC_control_value	dlPFC_IFJ_L_vmPFC_control_value
descending	pathway_score_tests	0.00033811507660187615	6.762301532037523e-05	beta_passive	descending_pgACC_rACC	descending_pgACC_rACC
descending_modulation	pathway_score_tests	0.2267903267747312	0.2267903267747312	z_up	pgACC_rACC_PAG_descending	pgACC_rACC_PAG_descending
salience	pathway_score_tests	9.619055565288051e-10	9.619055565288051e-11	beta_passive	salience_aINS	salience_aINS
salience_interoception	pathway_score_tests	5.4068037348765e-13	1.0813607469753e-13	z_passive	aINS_dACC_MCC_salience	aINS_dACC_MCC_salience
sensory	pathway_score_tests	0.2528578958127173	0.05057157916254346	down_minus_passive	sensory_S1_S2_thalamus	sensory_S1_S2_thalamus
sensory_interoceptive	pathway_score_tests	7.339563862452351e-05	4.4037383174714104e-05	z_passive	sensory_thalamus_S1_S2_insula	sensory_thalamus_S1_S2_insula
value	pathway_score_tests	0.0034127325920501423	0.0010238197776150427	beta_passive	value_NAc	value_NAc
value_regulation	pathway_score_tests	2.6430356740830354e-06	1.0572142696332143e-06	z_passive	NAc_vmPFC_value	NAc_vmPFC_value
control	targeted_roi_activity_tests	0.017903289069426263	0.011396966784000175	beta_passive	control_SMA_preSMA	reg_SMA_preSMA
descending	targeted_roi_activity_tests	0.00022541005106791744	6.762301532037523e-05	beta_passive	descending_pgACC_rACC	reg_pgACC_rACC
salience	targeted_roi_activity_tests	9.359815930343749e-11	9.35981593034375e-12	beta_passive	salience_aINS	reg_anterior_insula_L
sensory	targeted_roi_activity_tests	2.3433111478212298e-11	1.171655573910615e-12	beta_passive	sensory_S1_S2_thalamus	sensory_S2_operculum_R
value	targeted_roi_activity_tests	0.004795119308501196	0.0019180477234004786	beta_passive	value_NAc	reg_NAc_L
control_value	targeted_fc_tests	0.0022897259166256077	0.0010950863079513776	z_passive	dlPFC_IFJ_L_vmPFC_control_value	dlPFC_IFJ_L_vmPFC_control_value
descending_modulation	targeted_fc_tests	0.3477451677212545	0.2267903267747312	z_up	pgACC_rACC_PAG_descending	pgACC_rACC_PAG_descending
salience_interoception	targeted_fc_tests	6.578381050628161e-12	1.4300828370930786e-13	z_passive	aINS_dACC_MCC_salience	aINS_dACC_MCC_salience
sensory_interoceptive	targeted_fc_tests	4.370820987518219e-08	4.750892377737194e-09	z_passive	sensory_thalamus_S1_S2_insula	sensory_thalamus_S1_S2_insula
value_regulation	targeted_fc_tests	4.181596324424765e-07	8.181384113004975e-08	z_passive	NAc_vmPFC_value	NAc_vmPFC_value
control_value	targeted_ec_tests	0.7459075194465784	0.30310498023146176	regulation_mean_minus_passive	dlPFC_IFJ_L_to_vmPFC_control_value	dlPFC_IFJ_L_to_vmPFC_control_value
descending_modulation	targeted_ec_tests	0.7459075194465784	0.26029763654215254	regulation_mean_minus_passive	pgACC_rACC_to_PAG_descending	pgACC_rACC_to_PAG_descending
salience_interoception	targeted_ec_tests	0.21484544151485196	0.013427840094678248	ec_up	aINS_to_dACC_MCC_salience	aINS_to_dACC_MCC_salience
value_regulation	targeted_ec_tests	0.36891599764937477	0.029734017182887776	ec_passive	NAc_to_vmPFC_value	NAc_to_vmPFC_value
control	pathway_behavior_correlations	0.23119692802721198	0.010364000221909503	down_minus_passive	control_dlPFC_IFJ_L	control_dlPFC_IFJ_L ~ passive_mean_rating_raw
control_value	pathway_behavior_correlations	0.006310265281943959	0.00011416731095113845	ec_up	dlPFC_IFJ_L_to_vmPFC_control_value	dlPFC_IFJ_L_to_vmPFC_control_value ~ mean_reg_success_raw
descending	pathway_behavior_correlations	0.21464576394095972	0.008881893680315575	down_minus_passive	descending_pgACC_rACC	descending_pgACC_rACC ~ passive_mean_rating_raw
descending_modulation	pathway_behavior_correlations	0.21805851494605305	0.00535875529838512	down_minus_passive	pgACC_rACC_to_PAG_descending	pgACC_rACC_to_PAG_descending ~ prediction_error_raw_down
salience	pathway_behavior_correlations	0.1304475247005538	0.0023114504010255973	up_minus_down	salience_aINS	salience_aINS ~ task_separation_rating_z_up_minus_down
salience_interoception	pathway_behavior_correlations	0.05719132828809648	0.0049302869213876275	up_minus_passive	aINS_to_dACC_MCC_salience	aINS_to_dACC_MCC_salience ~ up_first
sensory	pathway_behavior_correlations	0.1304475247005538	0.003387151781157399	up_minus_down	sensory_S1_S2_thalamus	sensory_S1_S2_thalamus ~ up_first
sensory_interoceptive	pathway_behavior_correlations	0.41127518743931735	0.003867655214048683	z_passive	sensory_thalamus_S1_S2_insula	sensory_thalamus_S1_S2_insula ~ rating_raw_down
value	pathway_behavior_correlations	0.1304475247005538	0.001796714535060922	up_minus_down	value_NAc	value_NAc ~ rating_z_subject_up
value_regulation	pathway_behavior_correlations	0.09829509137804006	0.001694742954793794	regulation_mean_minus_passive	NAc_to_vmPFC_value	NAc_to_vmPFC_value ~ passive_mean_rating_raw
