subject	roi_a	roi_b	roi_a_safe	roi_b_safe	quantity	z_value	target_pathway	target_family
sub-01	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	z_passive	0.5104765455640656	NAc_vmPFC_value	value_regulation
sub-01	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	z_passive	0.088863285819542	NAc_vmPFC_value	value_regulation
sub-01	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	z_passive	0.3355220639648115	NAc_vmPFC_value	value_regulation
sub-01	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	z_passive	0.7383406698540569	NAc_vmPFC_value	value_regulation
sub-01	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	z_passive	0.0741116002440716	NAc_vmPFC_value	value_regulation
sub-01	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	z_passive	0.4254656710983761	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	z_passive	0.1593135896861521	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	z_passive	0.3766396913277361	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	z_passive	0.3386536634553885	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	z_passive	0.4214112748626047	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	z_passive	0.3083918897015074	NAc_vmPFC_value	value_regulation
sub-02	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	z_passive	0.4319432657058124	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	z_passive	0.0554449344346459	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	z_passive	0.1574443007574782	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	z_passive	0.1343046736987989	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	z_passive	-0.0572274297942233	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	z_passive	0.1858891919513775	NAc_vmPFC_value	value_regulation
sub-03	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	z_passive	0.100440890198107	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	z_passive	-0.12842280669078	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	z_passive	0.3388201690522365	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	z_passive	0.0916950140239361	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	z_passive	-0.1986664406646521	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	z_passive	-0.0174654205781988	NAc_vmPFC_value	value_regulation
sub-04	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	z_passive	-0.1270162778640332	NAc_vmPFC_value	value_regulation
sub-05	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	z_passive	0.1185072063893966	NAc_vmPFC_value	value_regulation
