subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive	target	family
sub-01	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	349.4945106323965	-42.00231300677388	1376.5342784763004	1027.039767843904	1418.5365914830743	391.4968236391704	905.0167075611224	control_dlPFC_IFJ_L	control
sub-02	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-241.0060858474075	-168.26858504289393	2796.9969282249926	3038.0030140724	2965.2655132678865	-72.73750080451356	1446.2640062316864	control_dlPFC_IFJ_L	control
sub-03	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-72.41073872235667	-322.5142282744225	606.6931892778299	679.1039280001866	929.2074175522524	250.10348955206587	589.6554535521591	control_dlPFC_IFJ_L	control
sub-04	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-40.60468296169504	-406.68695834935954	-929.4934981400728	-888.8888151783779	-522.8065397907134	366.0822753876645	-78.36213220152445	control_dlPFC_IFJ_L	control
sub-05	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-313.7589122950024	-364.695195038896	230.446207800482	544.2051200954844	595.141402839378	50.93628274389357	323.0388427916358	control_dlPFC_IFJ_L	control
sub-06	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	131.42580734059874	-231.99059121840145	-87.64793708711227	-219.073744427711	144.34265413128915	363.4163985590002	253.87952634514463	control_dlPFC_IFJ_L	control
sub-07	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	1033.1708482823642	287.4791996426157	-189.8102225633592	-1222.9810708457237	-477.2894222059749	745.6916486397486	134.20111321688677	control_dlPFC_IFJ_L	control
sub-08	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-571.9658909521786	-50.995337114926805	95.55277649929904	667.5186674514777	146.54811361422583	-520.9705538372518	-187.21122011151297	control_dlPFC_IFJ_L	control
sub-09	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-212.641340214679	-396.6530711988341	675.9509895944406	888.5923298091195	1072.6040607932746	184.01173098415515	628.3078958887149	control_dlPFC_IFJ_L	control
sub-10	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-19.08353498688689	-19.92666635146021	-558.1379875126984	-539.0544525258115	-538.2113211612382	0.8431313645733169	-268.68409489833243	control_dlPFC_IFJ_L	control
sub-11	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	50.510397195371205	591.8858012322445	1157.3527890998653	1106.842391904494	565.4669878676208	-541.3754040368733	12.045791915373798	control_dlPFC_IFJ_L	control
sub-12	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	156.02708010547084	-367.97735096893246	230.7863358512975	74.75925574582666	598.76368682023	524.0044310744033	561.3840589473166	control_dlPFC_IFJ_L	control
sub-13	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-430.8449698373132	-45.63300174960849	291.0508965881671	721.8958664254803	336.6838983377756	-385.2119680877047	-24.26403487496453	control_dlPFC_IFJ_L	control
sub-14	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	175.59423795495587	228.1593893930132	334.03797389185263	158.44373593689676	105.87858449883942	-52.56515143805734	26.65671653039104	control_dlPFC_IFJ_L	control
sub-15	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	166.03698410312182	409.4034753131885	406.9740971040452	240.93711300092335	-2.4293782091432945	-243.36649121006667	-122.89793470960495	control_dlPFC_IFJ_L	control
sub-16	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	240.75500375343597	-39.97150446676745	817.341489370418	576.586485616982	857.3129938371854	280.7265082202034	569.0197510286944	control_dlPFC_IFJ_L	control
sub-17	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	218.9921091277819	49.744943549728895	-53.46281408039977	-272.45492320818164	-103.20775763012868	169.247165578053	33.01970397396217	control_dlPFC_IFJ_L	control
sub-18	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-39.525901247520416	212.0575834020247	-342.0600239522108	-302.5341227046904	-554.1176073542356	-251.5834846495451	-402.8505460018904	control_dlPFC_IFJ_L	control
sub-19	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	375.8592320373203	-726.6327649041122	-242.23082731769065	-618.0900593550109	484.4019375864215	1102.4919969414325	793.446967263927	control_dlPFC_IFJ_L	control
sub-20	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-1253.442435940055	-431.0711291327627	-303.6377840271315	949.8046519129236	127.4333451056312	-822.3713068072923	-347.46898085083063	control_dlPFC_IFJ_L	control
sub-21	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-195.52622906907027	146.74141622674844	259.8006879438244	455.3269170128947	113.05927171707596	-342.26764529581874	-114.60418678937135	control_dlPFC_IFJ_L	control
sub-22	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-652.3802858526276	-352.61959888476304	-374.6179287767442	277.76235707588336	-21.9983298919812	-299.76068696786456	-160.8795084299229	control_dlPFC_IFJ_L	control
sub-23	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	109.2476427285254	-98.02372530669332	89.13617322216814	-20.111469506357253	187.15989852886145	207.2713680352187	197.21563328204007	control_dlPFC_IFJ_L	control
sub-24	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-464.5419777010481	-414.0245044869946	-17.317596280790234	447.2243814202579	396.7069082062044	-50.517473214053496	173.09471749607545	control_dlPFC_IFJ_L	control
sub-25	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	270.83709240785686	-4.800373561642624	790.9909697392402	520.1538773313833	795.7913433008828	275.6374659694995	535.7144046351912	control_dlPFC_IFJ_L	control
